note,accord,note_frequency,accord_frequency,cooccurrence_count,p_accord_given_note,lift,p_rank,lift_rank,selected_by
Cotton Flower,fresh,327,33478,168,0.5137614678899083,2.0246296212054364,3.0,4.0,P_AND_LIFT_TOP5
Cotton Flower,musky,327,41154,161,0.4923547400611621,1.5783729614683655,4.0,,P_TOP5
Cotton Flower,woody,327,81432,155,0.4740061162079511,0.7679490484246363,5.0,,P_TOP5
Cotton Flower,marine,327,4326,29,0.08868501529051988,2.704626460304736,,1.0,LIFT_TOP5
Cotton Flower,aquatic,327,8872,49,0.14984709480122324,2.2282830497210755,,3.0,LIFT_TOP5
Coumarin,woody,895,81432,696,0.7776536312849162,1.2598959079406007,1.0,,P_TOP5
Coumarin,aromatic,895,54606,640,0.7150837988826816,1.7276673916161627,2.0,,P_TOP5
Coumarin,sweet,895,60625,573,0.6402234636871509,1.3932318608535392,3.0,,P_TOP5
Coumarin,vanilla,895,34562,496,0.5541899441340782,2.1154527900471307,4.0,5.0,P_AND_LIFT_TOP5
Coumarin,citrus,895,59969,416,0.464804469273743,1.0225558810599629,5.0,,P_TOP5
Coumarin,caramel,895,4008,85,0.09497206703910614,3.126163873370577,,1.0,LIFT_TOP5
Coumarin,honey,895,3467,65,0.07262569832402235,2.763630914302933,,2.0,LIFT_TOP5
Coumarin,lavender,895,8336,144,0.16089385474860335,2.5463923053002926,,3.0,LIFT_TOP5
Coumarin,balsamic,895,18162,281,0.3139664804469274,2.280673811549561,,4.0,LIFT_TOP5
Cranberry,fruity,344,43222,316,0.9186046511627907,2.8039311375666784,1.0,2.0,P_AND_LIFT_TOP5
Cranberry,sweet,344,60625,211,0.6133720930232558,1.3347988491968352,2.0,,P_TOP5
Cranberry,woody,344,81432,191,0.5552325581395349,0.8995460187070051,3.0,,P_TOP5
Cranberry,fresh spicy,344,47271,183,0.5319767441860465,1.484709269117749,4.0,5.0,P_AND_LIFT_TOP5
Cranberry,powdery,344,62885,163,0.4738372093023256,0.9940898946212263,5.0,,P_TOP5
Cranberry,sour,344,1912,57,0.16569767441860464,11.433312858810938,,1.0,LIFT_TOP5
Cranberry,violet,344,7614,41,0.11918604651162791,2.0651714100708,,3.0,LIFT_TOP5
Cranberry,tropical,344,6512,33,0.09593023255813954,1.9435005499685731,,4.0,LIFT_TOP5
Cream,sweet,173,60625,167,0.9653179190751445,2.1006910196055064,1.0,,P_TOP5
Cream,vanilla,173,34562,149,0.861271676300578,3.2876445881122405,2.0,4.0,P_AND_LIFT_TOP5
Cream,lactonic,173,7015,115,0.6647398843930635,12.501658296219084,3.0,1.0,P_AND_LIFT_TOP5
Cream,powdery,173,62885,110,0.6358381502890174,1.3339608359327353,4.0,,P_TOP5
Cream,woody,173,81432,73,0.42196531791907516,0.6836364622392129,5.0,,P_TOP5
Cream,nutty,173,3619,32,0.18497109826589594,6.74308842061886,,2.0,LIFT_TOP5
Cream,caramel,173,4008,32,0.18497109826589594,6.088631984585742,,3.0,LIFT_TOP5
Cream,tropical,173,6512,20,0.11560693641618497,2.3421411427191776,,5.0,LIFT_TOP5
Creamy notes,sweet,50,60625,49,0.98,2.132641649484536,1.0,3.0,P_AND_LIFT_TOP5
Creamy notes,vanilla,50,34562,31,0.62,2.3666628088652275,2.0,2.0,P_AND_LIFT_TOP5
Creamy notes,lactonic,50,7015,28,0.56,10.53183178902352,3.0,1.0,P_AND_LIFT_TOP5
Creamy notes,fruity,50,43222,27,0.54,1.6482855952986906,4.0,4.0,P_AND_LIFT_TOP5
Creamy notes,powdery,50,62885,23,0.46,0.9650600302138825,5.0,5.0,P_AND_LIFT_TOP5
Creme Brulee,sweet,83,60625,83,1.0,2.176164948453608,1.0,4.0,P_AND_LIFT_TOP5
Creme Brulee,vanilla,83,34562,54,0.6506024096385542,2.483478268144623,2.0,3.0,P_AND_LIFT_TOP5
Creme Brulee,lactonic,83,7015,45,0.5421686746987951,10.196480862867006,3.0,2.0,P_AND_LIFT_TOP5
Creme Brulee,powdery,83,62885,44,0.5301204819277109,1.1121697571872926,4.0,,P_TOP5
Creme Brulee,woody,83,81432,44,0.5301204819277109,0.8588613220935614,5.0,,P_TOP5
Creme Brulee,caramel,83,4008,37,0.4457831325301205,14.673694779116467,,1.0,LIFT_TOP5
Creme Brulee,fruity,83,43222,38,0.4578313253012048,1.3974755158712682,,5.0,LIFT_TOP5
Crystal Amber,woody,131,81432,94,0.7175572519083969,1.1625322753251155,1.0,,P_TOP5
Crystal Amber,amber,131,45478,70,0.5343511450381679,1.5501329558222767,2.0,1.0,P_AND_LIFT_TOP5
Crystal Amber,citrus,131,59969,69,0.5267175572519084,1.1587628162591386,3.0,,P_TOP5
Crystal Amber,floral,131,46586,65,0.4961832061068702,1.40517430948524,4.0,3.0,P_AND_LIFT_TOP5
Crystal Amber,powdery,131,62885,65,0.4961832061068702,1.04097082581982,5.0,,P_TOP5
Crystal Amber,fruity,131,43222,63,0.48091603053435117,1.4679388253296226,,2.0,LIFT_TOP5
Crystal Amber,musky,131,41154,56,0.42748091603053434,1.3704028102227825,,4.0,LIFT_TOP5
Crystal Amber,fresh,131,33478,43,0.3282442748091603,1.293544034158926,,5.0,LIFT_TOP5
Cucumber,ozonic,451,5777,366,0.811529933481153,18.533000540794273,1.0,1.0,P_AND_LIFT_TOP5
Cucumber,aquatic,451,8872,357,0.7915742793791575,11.771009319036546,2.0,2.0,P_AND_LIFT_TOP5
Cucumber,green,451,29755,345,0.7649667405764967,3.3917681762479317,3.0,3.0,P_AND_LIFT_TOP5
Cucumber,citrus,451,59969,238,0.5277161862527716,1.1609597700866807,4.0,,P_TOP5
Cucumber,aromatic,451,54606,231,0.5121951219512195,1.2374812738348238,5.0,,P_TOP5
Cucumber,marine,451,4326,45,0.09977827050997783,3.04293740831747,,4.0,LIFT_TOP5
Cucumber,salty,451,2520,20,0.04434589800443459,2.3216485411607364,,5.0,LIFT_TOP5
Cumin,fresh spicy,1234,47271,974,0.7893030794165316,2.202888774669946,1.0,,P_TOP5
Cumin,woody,1234,81432,972,0.7876823338735819,1.2761436573821305,2.0,,P_TOP5
Cumin,warm spicy,1234,45319,778,0.6304700162074555,1.8353871276561617,3.0,,P_TOP5
Cumin,aromatic,1234,54606,679,0.5502431118314425,1.3294065440413545,4.0,,P_TOP5
Cumin,amber,1234,45478,603,0.4886547811993517,1.4175694903828329,5.0,,P_TOP5
Cumin,cinnamon,1234,4259,103,0.08346839546191248,2.5855800453839195,,1.0,LIFT_TOP5
Cumin,leather,1234,10809,252,0.20421393841166938,2.4925474044455123,,2.0,LIFT_TOP5
Cumin,tobacco,1234,4372,96,0.07779578606158834,2.347575035476978,,3.0,LIFT_TOP5
Cumin,rum,1234,1166,25,0.02025931928687196,2.2922915896372364,,4.0,LIFT_TOP5
Cumin,oud,1234,8298,177,0.14343598055105347,2.2804903487708468,,5.0,LIFT_TOP5
Cupcake,sweet,156,60625,153,0.9807692307692307,2.1343156225218083,1.0,4.0,P_AND_LIFT_TOP5
Cupcake,fruity,156,43222,94,0.6025641025641025,1.8392550564823944,2.0,,P_TOP5
Cupcake,powdery,156,62885,87,0.5576923076923077,1.1700142506773659,3.0,,P_TOP5
Cupcake,vanilla,156,34562,80,0.5128205128205128,1.9575374763153248,4.0,5.0,P_AND_LIFT_TOP5
Cupcake,fresh,156,33478,53,0.33974358974358976,1.3388604992792819,5.0,,P_TOP5
Cupcake,lactonic,156,7015,52,0.3333333333333333,6.268947493466381,,1.0,LIFT_TOP5
Cupcake,caramel,156,4008,21,0.1346153846153846,4.431089743589744,,2.0,LIFT_TOP5
Cupcake,tropical,156,6512,31,0.1987179487179487,4.025930432180433,,3.0,LIFT_TOP5
Currant buds,woody,110,81432,87,0.7909090909090909,1.2813714063714063,1.0,,P_TOP5
Currant buds,aromatic,110,54606,86,0.7818181818181819,1.8888999876803414,2.0,4.0,P_AND_LIFT_TOP5
Currant buds,fruity,110,43222,71,0.6454545454545455,1.9701730179496133,3.0,3.0,P_AND_LIFT_TOP5
Currant buds,green,110,29755,69,0.6272727272727273,2.781249904523304,4.0,2.0,P_AND_LIFT_TOP5
Currant buds,citrus,110,59969,49,0.44545454545454544,0.9799866294555217,5.0,,P_TOP5
Currant buds,soft spicy,110,13661,33,0.3,2.8972256789400483,,1.0,LIFT_TOP5
Currant buds,rose,110,25617,38,0.34545454545454546,1.7791239482304009,,5.0,LIFT_TOP5
Custard,sweet,234,60625,227,0.9700854700854701,2.1110659970041414,1.0,,P_TOP5
Custard,lactonic,234,7015,179,0.7649572649572649,14.386430786288235,2.0,1.0,P_AND_LIFT_TOP5
Custard,vanilla,234,34562,155,0.6623931623931624,2.5284859069072945,3.0,,P_TOP5
Custard,powdery,234,62885,127,0.5427350427350427,1.1386345581304633,4.0,,P_TOP5
Custard,fruity,234,43222,99,0.4230769230769231,1.2913918481684896,5.0,,P_TOP5
Custard,caramel,234,4008,46,0.19658119658119658,6.470797720797721,,2.0,LIFT_TOP5
Custard,coconut,234,3269,37,0.1581196581196581,6.381378554826092,,3.0,LIFT_TOP5
Custard,nutty,234,3619,35,0.14957264957264957,5.452644282431517,,4.0,LIFT_TOP5
Custard,tropical,234,6512,34,0.1452991452991453,2.9436910686910687,,5.0,LIFT_TOP5
Cyclamen,floral,1660,46586,1335,0.8042168674698795,2.2775153764071008,1.0,4.0,P_AND_LIFT_TOP5
Cyclamen,woody,1660,81432,1071,0.6451807228915662,1.0452732681388686,2.0,,P_TOP5
Cyclamen,fresh,1660,33478,1017,0.6126506024096385,2.4143316200461085,3.0,3.0,P_AND_LIFT_TOP5
Cyclamen,powdery,1660,62885,965,0.5813253012048193,1.2195952450974288,4.0,,P_TOP5
Cyclamen,citrus,1660,59969,815,0.49096385542168675,1.0801057453981746,5.0,,P_TOP5
Cyclamen,aquatic,1660,8872,311,0.18734939759036146,2.7859564950514413,,1.0,LIFT_TOP5
Cyclamen,ozonic,1660,5777,181,0.10903614457831326,2.4900707208268766,,2.0,LIFT_TOP5
Cyclamen,marine,1660,4326,89,0.053614457831325305,1.6350798478240285,,5.0,LIFT_TOP5
Cypress,woody,2630,81432,2457,0.9342205323193916,1.5135538219483413,1.0,,P_TOP5
Cypress,aromatic,2630,54606,2329,0.8855513307984791,2.1395228925803638,2.0,3.0,P_AND_LIFT_TOP5
Cypress,fresh spicy,2630,47271,1983,0.7539923954372624,2.1043391662972653,3.0,4.0,P_AND_LIFT_TOP5
Cypress,citrus,2630,59969,1316,0.5003802281368821,1.1008214827343938,4.0,,P_TOP5
Cypress,amber,2630,45478,1066,0.4053231939163498,1.1758276303571844,5.0,,P_TOP5
Cypress,conifer,2630,1828,153,0.05817490494296578,4.198586000615687,,1.0,LIFT_TOP5
Cypress,camphor,2630,793,48,0.018250950570342206,3.0363781951390254,,2.0,LIFT_TOP5
Cypress,mineral,2630,770,28,0.01064638783269962,1.8241272035948841,,5.0,LIFT_TOP5
Cypriol,woody,603,81432,556,0.9220563847429519,1.4938463851942436,1.0,,P_TOP5
Cypriol,warm spicy,603,45319,368,0.6102819237147595,1.7766167434340614,2.0,,P_TOP5
Cypriol,amber,603,45478,356,0.5903814262023217,1.7126747341323785,3.0,,P_TOP5
Cypriol,earthy,603,19049,334,0.5538971807628524,3.8361937664991923,4.0,1.0,P_AND_LIFT_TOP5
Cypriol,aromatic,603,54606,270,0.44776119402985076,1.0818066572969676,5.0,,P_TOP5
Cypriol,oud,603,8298,136,0.22553897180762852,3.5858467764015947,,2.0,LIFT_TOP5
Cypriol,leather,603,10809,153,0.2537313432835821,3.0969355277456736,,3.0,LIFT_TOP5
Cypriol,metallic,603,2235,27,0.04477611940298507,2.6430932585395173,,4.0,LIFT_TOP5
Cypriol,smoky,603,7407,85,0.14096185737976782,2.510746300001724,,5.0,LIFT_TOP5
Cypriol Oil or Nagarmotha,woody,1197,81432,1138,0.9507101086048454,1.5402689928804065,1.0,,P_TOP5
Cypriol Oil or Nagarmotha,warm spicy,1197,45319,762,0.6365914786967418,1.8532075682265972,2.0,,P_TOP5
Cypriol Oil or Nagarmotha,earthy,1197,19049,733,0.6123642439431913,4.24112629027378,3.0,2.0,P_AND_LIFT_TOP5
Cypriol Oil or Nagarmotha,amber,1197,45478,680,0.5680868838763575,1.647999089445619,4.0,,P_TOP5
Cypriol Oil or Nagarmotha,aromatic,1197,54606,609,0.5087719298245614,1.2292107222970807,5.0,,P_TOP5
Cypriol Oil or Nagarmotha,oud,1197,8298,320,0.2673350041771094,4.250362388658237,,1.0,LIFT_TOP5
Cypriol Oil or Nagarmotha,metallic,1197,2235,71,0.059314954051796154,3.5013073324624013,,3.0,LIFT_TOP5
Cypriol Oil or Nagarmotha,leather,1197,10809,246,0.20551378446115287,2.508412765654538,,4.0,LIFT_TOP5
Cypriol Oil or Nagarmotha,smoky,1197,7407,166,0.13868003341687551,2.4701035248668,,5.0,LIFT_TOP5
Dahlia,floral,67,46586,51,0.7611940298507462,2.1556761335639236,1.0,1.0,P_AND_LIFT_TOP5
Dahlia,sweet,67,60625,46,0.6865671641791045,1.4940833974457608,2.0,4.0,P_AND_LIFT_TOP5
Dahlia,fruity,67,43222,40,0.5970149253731343,1.8223168549460371,3.0,2.0,P_AND_LIFT_TOP5
Dahlia,fresh spicy,67,47271,36,0.5373134328358209,1.499603587697105,4.0,3.0,P_AND_LIFT_TOP5
Dahlia,powdery,67,62885,34,0.5074626865671642,1.0646346861541858,5.0,,P_TOP5
Dahlia,fresh,67,33478,20,0.29850746268656714,1.1763572959029454,,5.0,LIFT_TOP5
Daisy,floral,113,46586,99,0.8761061946902655,2.481103556121726,1.0,3.0,P_AND_LIFT_TOP5
Daisy,sweet,113,60625,90,0.7964601769911505,1.7332287200072987,2.0,5.0,P_AND_LIFT_TOP5
Daisy,green,113,29755,55,0.48672566371681414,2.158081559877644,3.0,4.0,P_AND_LIFT_TOP5
Daisy,powdery,113,62885,52,0.46017699115044247,0.9654313499638686,4.0,,P_TOP5
Daisy,woody,113,81432,50,0.4424778761061947,0.7168693657860579,5.0,,P_TOP5
Daisy,herbal,113,8607,47,0.415929203539823,6.375454841757738,,1.0,LIFT_TOP5
Daisy,aquatic,113,8872,20,0.17699115044247787,2.6319254370915357,,2.0,LIFT_TOP5
Damask Rose,rose,1644,25617,1189,0.7232360097323601,3.7247346201346865,1.0,1.0,P_AND_LIFT_TOP5
Damask Rose,woody,1644,81432,1055,0.6417274939172749,1.0396786063526142,2.0,,P_TOP5
Damask Rose,floral,1644,46586,933,0.5675182481751825,1.6071927721150523,3.0,4.0,P_AND_LIFT_TOP5
Damask Rose,powdery,1644,62885,774,0.4708029197080292,0.9877240867787277,4.0,,P_TOP5
Damask Rose,citrus,1644,59969,708,0.4306569343065693,0.9474323290877903,5.0,,P_TOP5
Damask Rose,oud,1644,8298,192,0.11678832116788321,1.8568188975269742,,2.0,LIFT_TOP5
Damask Rose,metallic,1644,2235,47,0.028588807785888078,1.68757110120457,,3.0,LIFT_TOP5
Damask Rose,patchouli,1644,14822,247,0.1502433090024331,1.3373093885232086,,5.0,LIFT_TOP5
Dark Chocolate,sweet,712,60625,632,0.8876404494382022,1.931652032897023,1.0,,P_TOP5
Dark Chocolate,warm spicy,712,45319,608,0.8539325842696629,2.4859181765417735,2.0,,P_TOP5
Dark Chocolate,chocolate,712,1554,501,0.7036516853932584,59.737945208450824,3.0,1.0,P_AND_LIFT_TOP5
Dark Chocolate,woody,712,81432,392,0.550561797752809,0.891978804125259,4.0,,P_TOP5
Dark Chocolate,vanilla,712,34562,329,0.46207865168539325,1.7638457414748547,5.0,,P_TOP5
Dark Chocolate,cacao,712,2035,198,0.27808988764044945,18.028697236562405,,2.0,LIFT_TOP5
Dark Chocolate,coffee,712,1815,85,0.11938202247191011,8.677724641718513,,3.0,LIFT_TOP5
Dark Chocolate,rum,712,1166,38,0.05337078651685393,6.038771754003893,,4.0,LIFT_TOP5
Dark Chocolate,caramel,712,4008,69,0.09691011235955056,3.189957865168539,,5.0,LIFT_TOP5
Dates,sweet,400,60625,382,0.955,2.0782375257731958,1.0,,P_TOP5
Dates,fruity,400,43222,272,0.68,2.0756188977835364,2.0,,P_TOP5
Dates,warm spicy,400,45319,262,0.655,1.9067973697566143,3.0,,P_TOP5
Dates,woody,400,81432,232,0.58,0.9396723646723647,4.0,,P_TOP5
Dates,amber,400,45478,227,0.5675,1.6462965609745372,5.0,,P_TOP5
Dates,honey,400,3467,73,0.1825,6.944685607153159,,1.0,LIFT_TOP5
Dates,cinnamon,400,4259,57,0.1425,4.414187602723644,,2.0,LIFT_TOP5
Dates,caramel,400,4008,30,0.075,2.46875,,3.0,LIFT_TOP5
Dates,oud,400,8298,62,0.155,2.464346830561581,,4.0,LIFT_TOP5
Dates,tobacco,400,4372,30,0.075,2.263209057639524,,5.0,LIFT_TOP5
Datura,white floral,127,39497,113,0.889763779527559,2.972036747932017,1.0,1.0,P_AND_LIFT_TOP5
Datura,sweet,127,60625,91,0.7165354330708661,1.5592992937738452,2.0,4.0,P_AND_LIFT_TOP5
Datura,fruity,127,43222,79,0.6220472440944882,1.8987250222892469,3.0,2.0,P_AND_LIFT_TOP5
Datura,woody,127,81432,74,0.5826771653543307,0.9440097065674041,4.0,,P_TOP5
Datura,floral,127,46586,67,0.5275590551181102,1.4940296686071413,5.0,5.0,P_AND_LIFT_TOP5
Datura,patchouli,127,14822,23,0.18110236220472442,1.6119845260875247,,3.0,LIFT_TOP5
Davana,woody,910,81432,636,0.6989010989010989,1.132306979787086,1.0,,P_TOP5
Davana,aromatic,910,54606,568,0.6241758241758242,1.508030554948476,2.0,,P_TOP5
Davana,sweet,910,60625,550,0.6043956043956044,1.315264529285148,3.0,,P_TOP5
Davana,warm spicy,910,45319,482,0.5296703296703297,1.5419450251198525,4.0,,P_TOP5
Davana,amber,910,45478,477,0.5241758241758242,1.520614725439036,5.0,,P_TOP5
Davana,rum,910,1166,58,0.06373626373626373,7.211599721033683,,1.0,LIFT_TOP5
Davana,whiskey,910,808,32,0.035164835164835165,5.7417038407137415,,2.0,LIFT_TOP5
Davana,tobacco,910,4372,82,0.09010989010989011,2.7191669263947396,,3.0,LIFT_TOP5
Davana,balsamic,910,18162,313,0.34395604395604396,2.4985200351900057,,4.0,LIFT_TOP5
Davana,cherry,910,1803,26,0.02857142857142857,2.090642579827272,,5.0,LIFT_TOP5
Dew Drop,aquatic,202,8872,153,0.7574257425742574,11.263207644028604,1.0,1.0,P_AND_LIFT_TOP5
Dew Drop,floral,202,46586,126,0.6237623762376238,1.7664742690299597,2.0,4.0,P_AND_LIFT_TOP5
Dew Drop,woody,202,81432,100,0.49504950495049505,0.802041963701233,3.0,,P_TOP5
Dew Drop,powdery,202,62885,98,0.48514851485148514,1.0178205226104227,4.0,,P_TOP5
Dew Drop,green,202,29755,93,0.4603960396039604,2.0413392540732818,5.0,3.0,P_AND_LIFT_TOP5
Dew Drop,ozonic,202,5777,31,0.15346534653465346,3.50470541255268,,2.0,LIFT_TOP5
Dew Drop,fresh,202,33478,78,0.38613861386138615,1.5216938684130674,,5.0,LIFT_TOP5
Dried Fallen Leaves,woody,52,81432,50,0.9615384615384616,1.557812275650472,1.0,4.0,P_AND_LIFT_TOP5
Dried Fallen Leaves,aromatic,52,54606,44,0.8461538461538461,2.0443371959688847,2.0,2.0,P_AND_LIFT_TOP5
Dried Fallen Leaves,earthy,52,19049,35,0.6730769230769231,4.661611552393221,3.0,1.0,P_AND_LIFT_TOP5
Dried Fallen Leaves,green,52,29755,22,0.4230769230769231,1.8758708943551827,4.0,3.0,P_AND_LIFT_TOP5
Dried Fallen Leaves,warm spicy,52,45319,20,0.38461538461538464,1.1196696240496853,5.0,5.0,P_AND_LIFT_TOP5
Dried Fruits,sweet,566,60625,470,0.8303886925795053,1.8070627663837382,1.0,,P_TOP5
Dried Fruits,woody,566,81432,440,0.7773851590106007,1.2594609493598161,2.0,,P_TOP5
Dried Fruits,fruity,566,43222,429,0.7579505300353356,2.3135535937152802,3.0,,P_TOP5
Dried Fruits,warm spicy,566,45319,345,0.6095406360424028,1.7744587504815685,4.0,,P_TOP5
Dried Fruits,amber,566,45478,268,0.4734982332155477,1.3736009039123798,5.0,,P_TOP5
Dried Fruits,cacao,566,2035,74,0.13074204946996468,8.476068101509798,,1.0,LIFT_TOP5
Dried Fruits,tobacco,566,4372,139,0.24558303886925795,7.410743439620586,,2.0,LIFT_TOP5
Dried Fruits,rum,566,1166,35,0.061837455830388695,6.9967543290764835,,3.0,LIFT_TOP5
Dried Fruits,honey,566,3467,42,0.07420494699646643,2.8237261774571145,,4.0,LIFT_TOP5
Dried Fruits,coffee,566,1815,21,0.037102473498233215,2.6969307595712992,,5.0,LIFT_TOP5
Dried Plum,sweet,101,60625,85,0.8415841584158416,1.831425946718383,1.0,2.0,P_AND_LIFT_TOP5
Dried Plum,fruity,101,43222,83,0.8217821782178217,2.508392086721513,2.0,1.0,P_AND_LIFT_TOP5
Dried Plum,woody,101,81432,70,0.693069306930693,1.1228587491817263,3.0,,P_TOP5
Dried Plum,amber,101,45478,54,0.5346534653465347,1.5510099758821478,4.0,3.0,P_AND_LIFT_TOP5
Dried Plum,warm spicy,101,45319,51,0.504950495049505,1.4699821004850324,5.0,4.0,P_AND_LIFT_TOP5
Dried Plum,vanilla,101,34562,32,0.31683168316831684,1.2094092922977848,,5.0,LIFT_TOP5
Driftwood,woody,557,81432,478,0.8581687612208259,1.3903404640419437,1.0,,P_TOP5
Driftwood,marine,557,4326,297,0.533213644524237,16.261413805382013,2.0,1.0,P_AND_LIFT_TOP5
Driftwood,citrus,557,59969,294,0.5278276481149012,1.1612049828377815,3.0,,P_TOP5
Driftwood,aromatic,557,54606,291,0.5224416517055656,1.2622372469969465,4.0,,P_TOP5
Driftwood,fresh spicy,557,47271,218,0.39138240574506283,1.0923204668813045,5.0,,P_TOP5
Driftwood,salty,557,2520,173,0.3105924596050269,16.26050126813143,,2.0,LIFT_TOP5
Driftwood,aquatic,557,8872,146,0.2621184919210054,3.8978012442671597,,3.0,LIFT_TOP5
Driftwood,coconut,557,3269,48,0.08617594254937164,3.4778807282161517,,4.0,LIFT_TOP5
Driftwood,ozonic,557,5777,59,0.1059245960502693,2.4190119364569895,,5.0,LIFT_TOP5
Dry Wood,woody,415,81432,374,0.9012048192771084,1.4600642475590544,1.0,2.0,P_AND_LIFT_TOP5
Dry Wood,citrus,415,59969,213,0.5132530120481927,1.1291412209561285,2.0,,P_TOP5
Dry Wood,aromatic,415,54606,202,0.4867469879518072,1.1759976947676432,3.0,,P_TOP5
Dry Wood,powdery,415,62885,187,0.4506024096385542,0.9453442936091987,4.0,,P_TOP5
Dry Wood,musky,415,41154,177,0.42650602409638555,1.3672775370325156,5.0,4.0,P_AND_LIFT_TOP5
Dry Wood,mossy,415,6173,30,0.07228915662650602,1.544971397008738,,1.0,LIFT_TOP5
Dry Wood,smoky,415,7407,32,0.07710843373493977,1.3734191525112194,,3.0,LIFT_TOP5
Dry Wood,leather,415,10809,43,0.10361445783132531,1.2646734593104585,,5.0,LIFT_TOP5
Earl Grey Tea,citrus,81,59969,53,0.654320987654321,1.4394865330626585,1.0,,P_TOP5
Earl Grey Tea,green,81,29755,51,0.6296296296296297,2.791700118872023,2.0,1.0,P_AND_LIFT_TOP5
Earl Grey Tea,aromatic,81,54606,51,0.6296296296296297,1.521207139087958,3.0,3.0,P_AND_LIFT_TOP5
Earl Grey Tea,fresh spicy,81,47271,44,0.5432098765432098,1.516060142843301,4.0,4.0,P_AND_LIFT_TOP5
Earl Grey Tea,floral,81,46586,36,0.4444444444444444,1.2586518601201124,5.0,,P_TOP5
Earl Grey Tea,fresh,81,33478,33,0.4074074074074074,1.6055098649638346,,2.0,LIFT_TOP5
Earl Grey Tea,white floral,81,39497,35,0.43209876543209874,1.4433194957454183,,5.0,LIFT_TOP5
Earthy Notes,earthy,470,19049,414,0.8808510638297873,6.100618449843237,1.0,2.0,P_AND_LIFT_TOP5
Earthy Notes,woody,470,81432,328,0.6978723404255319,1.1306402627018914,2.0,,P_TOP5
Earthy Notes,aromatic,470,54606,207,0.44042553191489364,1.0640834418476341,3.0,,P_TOP5
Earthy Notes,green,470,29755,166,0.35319148936170214,1.5660075009742687,4.0,,P_TOP5
Earthy Notes,warm spicy,470,45319,162,0.3446808510638298,1.0034145652121862,5.0,,P_TOP5
Earthy Notes,mineral,470,770,25,0.05319148936170213,9.113705443492677,,1.0,LIFT_TOP5
Earthy Notes,smoky,470,7407,76,0.16170212765957448,2.880162238710363,,3.0,LIFT_TOP5
Earthy Notes,metallic,470,2235,22,0.04680851063829787,2.7630634489980483,,4.0,LIFT_TOP5
Earthy Notes,mossy,470,6173,60,0.1276595744680851,2.7283537436537286,,5.0,LIFT_TOP5
Ebony,woody,187,81432,177,0.946524064171123,1.5334870786189245,1.0,3.0,P_AND_LIFT_TOP5
Ebony,warm spicy,187,45319,120,0.6417112299465241,1.868111886114983,2.0,2.0,P_AND_LIFT_TOP5
Ebony,powdery,187,62885,82,0.4385026737967914,0.9199595730939126,3.0,,P_TOP5
Ebony,aromatic,187,54606,81,0.43315508021390375,1.0465177770322,4.0,,P_TOP5
Ebony,amber,187,45478,80,0.42780748663101603,1.241053733920356,5.0,5.0,P_AND_LIFT_TOP5
Ebony,leather,187,10809,29,0.15508021390374332,1.8928423184680225,,1.0,LIFT_TOP5
Ebony,balsamic,187,18162,39,0.20855614973262032,1.5149660188428917,,4.0,LIFT_TOP5
Ebony Wood,woody,117,81432,112,0.9572649572649573,1.5508886655364698,1.0,2.0,P_AND_LIFT_TOP5
Ebony Wood,warm spicy,117,45319,82,0.7008547008547008,2.040286870490538,2.0,1.0,P_AND_LIFT_TOP5
Ebony Wood,powdery,117,62885,57,0.48717948717948717,1.0220814143848254,3.0,,P_TOP5
Ebony Wood,aromatic,117,54606,51,0.4358974358974359,1.0531434039839709,4.0,,P_TOP5
Ebony Wood,sweet,117,60625,50,0.42735042735042733,0.9299850207066702,5.0,,P_TOP5
Ebony Wood,balsamic,117,18162,24,0.20512820512820512,1.4900651967054346,,3.0,LIFT_TOP5
Ebony Wood,earthy,117,19049,23,0.19658119658119658,1.3614865486354804,,4.0,LIFT_TOP5
Ebony Wood,amber,117,45478,47,0.4017094017094017,1.1653441525027786,,5.0,LIFT_TOP5
Egyptian Jasmine,white floral,677,39497,483,0.7134416543574594,2.383076118676852,1.0,3.0,P_AND_LIFT_TOP5
Egyptian Jasmine,woody,677,81432,434,0.6410635155096012,1.0386028784898036,2.0,,P_TOP5
Egyptian Jasmine,powdery,677,62885,335,0.4948301329394387,1.038132137054944,3.0,,P_TOP5
Egyptian Jasmine,citrus,677,59969,331,0.48892171344165436,1.0756130943380322,4.0,,P_TOP5
Egyptian Jasmine,floral,677,46586,324,0.47858197932053176,1.355328221606443,5.0,,P_TOP5
Egyptian Jasmine,tuberose,677,3931,58,0.08567208271787297,2.87527801398346,,1.0,LIFT_TOP5
Egyptian Jasmine,almond,677,3438,43,0.06351550960118169,2.4373476386515125,,2.0,LIFT_TOP5
Egyptian Jasmine,yellow floral,677,6986,78,0.11521418020679468,2.1758097329920445,,4.0,LIFT_TOP5
Egyptian Jasmine,metallic,677,2235,20,0.029542097488921712,1.7438429179925914,,5.0,LIFT_TOP5
Egyptian Musk,musky,55,41154,47,0.8545454545454545,2.73947081251353,1.0,1.0,P_AND_LIFT_TOP5
Egyptian Musk,powdery,55,62885,41,0.7454545454545455,1.5639312742596514,2.0,2.0,P_AND_LIFT_TOP5
Egyptian Musk,woody,55,81432,30,0.5454545454545454,0.8837044181871768,3.0,5.0,P_AND_LIFT_TOP5
Egyptian Musk,sweet,55,60625,28,0.509090909090909,1.1078657919400188,4.0,4.0,P_AND_LIFT_TOP5
