accord,frequency,mean_strength,representative_notes,season_profile,dominant_season,dominant_season_by_share,season_eligible_perfume_count,day_share,night_share,daypart_eligible_perfume_count,daypart_tendency,representative_note_1,representative_note_2,representative_note_3,representative_note_4,representative_note_5,winter_share,winter_lift,spring_share,spring_lift,summer_share,summer_lift,autumn_share,autumn_lift
chocolate,1554,52.63706563706564,"[""Chocolate"", ""Vanilla"", ""Dark Chocolate"", ""Musk"", ""Amber""]","{""winter"": 0.3546849554032703, ""spring"": 0.18101884064156273, ""summer"": 0.11129520246749117, ""autumn"": 0.3530010014876766}",winter,winter,764,0.48446359785560417,0.5155364021443959,583,Night leaning,Chocolate,Vanilla,Dark Chocolate,Musk,Amber,0.3546849554032703,1.6877205659844545,0.18101884064156273,0.633418323109953,0.11129520246749117,0.46618042961478884,0.3530010014876766,1.3304503300167514
anis,1418,50.56488011283498,"[""Anise"", ""Star Anise"", ""Musk"", ""Bergamot"", ""Vanilla""]","{""winter"": 0.23175603403827466, ""spring"": 0.2678281122862869, ""summer"": 0.21121991741108273, ""autumn"": 0.2891959362643559}",winter,autumn,648,0.5930305287282598,0.40696947127173977,503,Neutral,Anise,Star Anise,Musk,Bergamot,Vanilla,0.23175603403827466,1.1027798585160486,0.2678281122862869,0.9371799817346321,0.21121991741108273,0.8847334804989498,0.2891959362643559,1.0899709270537234
rum,1166,50.94854202401372,"[""Rum"", ""Vanilla"", ""Patchouli"", ""Sandalwood"", ""Amber""]","{""winter"": 0.32969561648412954, ""spring"": 0.19282319469480227, ""summer"": 0.13164587232214484, ""autumn"": 0.345835316498924}",winter,autumn,679,0.4607755840166823,0.5392244159833176,552,Night leaning,Rum,Vanilla,Patchouli,Sandalwood,Amber,0.32969561648412954,1.5688121640866708,0.19282319469480227,0.6747239359583119,0.13164587232214484,0.5514229540494096,0.345835316498924,1.3034430753123627
bitter,1034,16.46615087040619,"[""Grapefruit"", ""Musk"", ""Bergamot"", ""Fig"", ""Amber""]","{""winter"": 0.136662657233096, ""spring"": 0.32294363731076764, ""summer"": 0.3297042946717052, ""autumn"": 0.2106894107844313}",summer,summer,373,0.7191919941651618,0.2808080058348377,262,Day leaning,Grapefruit,Musk,Bergamot,Fig,Amber,0.136662657233096,0.6502908389563277,0.32294363731076764,1.130039373136101,0.3297042946717052,1.381027091269204,0.2106894107844313,0.7940821553702229
whiskey,808,43.01980198019802,"[""Whiskey"", ""Tobacco"", ""Vanilla"", ""Amber"", ""Musk""]","{""winter"": 0.3581749777570593, ""spring"": 0.17444010134933988, ""summer"": 0.09123279112457758, ""autumn"": 0.3761521297690228}",winter,autumn,356,0.41764498790034343,0.5823550120996567,271,Night leaning,Whiskey,Tobacco,Vanilla,Amber,Musk,0.3581749777570593,1.7043273670694856,0.17444010134933988,0.6103981004862281,0.09123279112457758,0.38214532898518216,0.3761521297690228,1.41770624751378
camphor,793,37.46532156368222,"[""Eucalyptus"", ""Musk"", ""Bergamot"", ""Patchouli"", ""Cedar""]","{""winter"": 0.17470952320174973, ""spring"": 0.3018205330491489, ""summer"": 0.2659599888143852, ""autumn"": 0.25750995493471635}",summer,spring,345,0.6630795137977191,0.3369204862022803,249,Neutral,Eucalyptus,Musk,Bergamot,Patchouli,Cedar,0.17470952320174973,0.8313317237988848,0.3018205330491489,1.0561257339102004,0.2659599888143852,1.1140223396605986,0.25750995493471635,0.9705474009468287
mineral,770,49.506493506493506,"[""Mineral notes"", ""Musk"", ""Patchouli"", ""Solar Notes"", ""Amber""]","{""winter"": 0.17363579387768352, ""spring"": 0.2863212518505548, ""summer"": 0.300664452844095, ""autumn"": 0.2393785014276666}",summer,summer,364,0.6372568846501658,0.36274311534983394,270,Neutral,Mineral notes,Musk,Patchouli,Solar Notes,Amber,0.17363579387768352,0.8262225274968686,0.2863212518505548,1.0018908892308949,0.300664452844095,1.259388371549051,0.2393785014276666,0.9022104891520335
savory,654,31.701834862385322,"[""Milk"", ""Vanilla"", ""Rice"", ""Musk"", ""Sandalwood""]","{""winter"": 0.2614394294919666, ""spring"": 0.26123718280175484, ""summer"": 0.18486797426308232, ""autumn"": 0.29245541344319614}",winter,autumn,324,0.6585414474671263,0.341458552532874,247,Neutral,Milk,Vanilla,Rice,Musk,Sandalwood,0.2614394294919666,1.2440242959027024,0.26123718280175484,0.9141171033788104,0.18486797426308232,0.774353518869358,0.29245541344319614,1.1022558000993923
terpenic,557,16.44524236983842,"[""Mango"", ""Orange"", ""Musk"", ""Ginger"", ""Jasmine""]","{""winter"": 0.10536339824519202, ""spring"": 0.3020183530165592, ""summer"": 0.432838456867824, ""autumn"": 0.15977979187042465}",summer,summer,213,0.7792946659308848,0.2207053340691153,153,Day leaning,Mango,Orange,Musk,Ginger,Jasmine,0.10536339824519202,0.5013575326820343,0.3020183530165592,1.0568179424758426,0.432838456867824,1.8130235023866705,0.15977979187042465,0.6022053079966561
cannabis,388,55.11340206185567,"[""cannabis"", ""Patchouli"", ""Musk"", ""Tobacco"", ""Vetiver""]","{""winter"": 0.2092948793553375, ""spring"": 0.2792677036484865, ""summer"": 0.2152826318539247, ""autumn"": 0.2961547851422514}",autumn,autumn,185,0.5477580100236336,0.4522419899763663,128,Neutral,cannabis,Patchouli,Musk,Tobacco,Vetiver,0.2092948793553375,0.9959014806298194,0.2792677036484865,0.9772092226248418,0.2152826318539247,0.9017509073275636,0.2961547851422514,1.1161986225761567
beeswax,349,45.78223495702006,"[""Beeswax"", ""Musk"", ""Honey"", ""Vanilla"", ""Jasmine""]","{""winter"": 0.2520125498336598, ""spring"": 0.2601666247358145, ""summer"": 0.1775177367192648, ""autumn"": 0.3103030887112605}",winter,autumn,164,0.5829013185863312,0.41709868141366885,122,Neutral,Beeswax,Musk,Honey,Vanilla,Jasmine,0.2520125498336598,1.199167759334086,0.2601666247358145,0.9103710231778963,0.1775177367192648,0.7435656967532297,0.3103030887112605,1.1695231601078795
Champagne,311,50.733118971061096,"[""Champagne"", ""Musk"", ""Rose"", ""Amber"", ""Vanilla""]","{""winter"": 0.17351701500691147, ""spring"": 0.32741451783486175, ""summer"": 0.27829083898945767, ""autumn"": 0.22077762816876906}",summer,spring,160,0.6724272726842127,0.32757272731578785,125,Day leaning,Champagne,Musk,Rose,Amber,Vanilla,0.17351701500691147,0.8256573342459216,0.32741451783486175,1.1456838090100672,0.27829083898945767,1.1656723740258261,0.22077762816876906,0.8321043482017112
wine,236,60.470338983050844,"[""Red Wine"", ""Musk"", ""Amber"", ""Vanilla"", ""Rose""]","{""winter"": 0.2627593007292675, ""spring"": 0.2377264433830242, ""summer"": 0.1711193617412163, ""autumn"": 0.328394894146492}",winter,autumn,101,0.5172918970323918,0.48270810296760813,69,Night leaning,Red Wine,Musk,Amber,Vanilla,Rose,0.2627593007292675,1.2503047253308732,0.2377264433830242,0.831848688196683,0.1711193617412163,0.7167649261002951,0.328394894146492,1.2377106394930983
sand,215,58.78139534883721,"[""Sand"", ""Musk"", ""Amber"", ""Sandalwood"", ""Vanilla""]","{""winter"": 0.11459265878521185, ""spring"": 0.27702623542408433, ""summer"": 0.4196596046544095, ""autumn"": 0.18872150113629443}",summer,summer,103,0.7357478285891562,0.2642521714108435,80,Day leaning,Sand,Musk,Amber,Sandalwood,Vanilla,0.11459265878521185,0.5452737253057394,0.27702623542408433,0.9693659117353615,0.4196596046544095,1.7578214554837597,0.18872150113629443,0.7112857538926985
alcohol,154,43.077922077922075,"[""Liquor"", ""Vanilla"", ""Amber"", ""Patchouli"", ""Musk""]","{""winter"": 0.33609445458684306, ""spring"": 0.19409464794814232, ""summer"": 0.12199529884655623, ""autumn"": 0.3478155986184579}",winter,autumn,90,0.4329138340161253,0.567086165983875,74,Night leaning,Liquor,Vanilla,Amber,Patchouli,Musk,0.33609445458684306,1.5992601729459013,0.19409464794814232,0.6791729854870184,0.12199529884655623,0.5109997517088317,0.3478155986184579,1.3109067000283172
gourmand,151,48.93377483443709,"[""Candy apple"", ""Vanilla"", ""Musk"", ""Jasmine"", ""Sandalwood""]","{""winter"": 0.22057540676415419, ""spring"": 0.27949497044159427, ""summer"": 0.22236328909569097, ""autumn"": 0.2775663336985606}",winter,spring,66,0.66814372548882,0.3318562745111801,53,Neutral,Candy apple,Vanilla,Musk,Jasmine,Sandalwood,0.22057540676415419,1.0495783502375673,0.27949497044159427,0.9780044710668199,0.22236328909569097,0.9314095427560388,0.2775663336985606,1.046139299079812
oily,132,39.446969696969695,"[""Oily Notes"", ""Vanilla"", ""Coconut"", ""Sugar"", ""Olive""]","{""winter"": 0.16810596370702707, ""spring"": 0.28493069834159174, ""summer"": 0.31520823823239774, ""autumn"": 0.23175509971898345}",summer,summer,9,0.6894272366719674,0.3105727633280328,7,Day leaning,Oily Notes,Vanilla,Coconut,Sugar,Olive,0.16810596370702707,0.7999095757822774,0.28493069834159174,0.9970250859326287,0.31520823823239774,1.3203076921507155,0.23175509971898345,0.8734781136731445
coca-cola,90,76.41111111111111,"[""Coca-Cola"", ""Vanilla"", ""Lime"", ""Cinnamon"", ""Amber""]","{""winter"": 0.2401331670166453, ""spring"": 0.2431820821920819, ""summer"": 0.2296379155060254, ""autumn"": 0.2870468352852475}",winter,autumn,56,0.559899093919091,0.44010090608090896,40,Neutral,Coca-Cola,Vanilla,Lime,Cinnamon,Amber,0.2401331670166453,1.1426413169630465,0.2431820821920819,0.8509389750070465,0.2296379155060254,0.9618806537300034,0.2870468352852475,1.0818710290510434
vodka,87,57.206896551724135,"[""Vodka"", ""Musk"", ""Ginger"", ""Amber"", ""Lime""]","{""winter"": 0.19789523150205934, ""spring"": 0.2871387065971938, ""summer"": 0.2911287076744269, ""autumn"": 0.2238373542263201}",summer,summer,52,0.5827984223740007,0.41720157762599913,42,Neutral,Vodka,Musk,Ginger,Amber,Lime,0.19789523150205934,0.9416577924387507,0.2871387065971938,1.0047513142175937,0.2911287076744269,1.2194461486918573,0.2238373542263201,0.8436363651814753
paper,58,49.86206896551724,"[""Paper"", ""Amber"", ""Leather"", ""Rose"", ""Sandalwood""]","{""winter"": 0.2831262947649502, ""spring"": 0.2127266327103992, ""summer"": 0.10260667168039876, ""autumn"": 0.40154040084425185}",autumn,autumn,18,0.5196087551949006,0.4803912448050994,11,Night leaning,Paper,Amber,Leather,Rose,Sandalwood,0.2831262947649502,1.3472183219682667,0.2127266327103992,0.7443697379493099,0.10260667168039876,0.42978692005420227,0.40154040084425185,1.5133938900083932
clay,43,65.25581395348837,"[""Clay"", ""Vetiver"", ""Musk"", ""Amber"", ""Earthy Notes""]","{""winter"": 0.17246501637385664, ""spring"": 0.3068332885746939, ""summer"": 0.241535883510175, ""autumn"": 0.2791658115412744}",spring,spring,23,0.7147815463950955,0.2852184536049044,14,Day leaning,Clay,Vetiver,Musk,Amber,Earthy Notes,0.17246501637385664,0.8206515405088416,0.3068332885746939,1.0736662903953567,0.241535883510175,1.011717481488483,0.2791658115412744,1.052167683743665
plastic,39,62.0,"[""Plastic"", ""Musk"", ""latex"", ""Leather"", ""Metallic notes""]","{""winter"": 0.2395361841589798, ""spring"": 0.25283093277013463, ""summer"": 0.25218853376010836, ""autumn"": 0.25544434931077714}",winter,autumn,24,0.5447451444522431,0.4552548555477569,18,Neutral,Plastic,Musk,latex,Leather,Metallic notes,0.2395361841589798,1.139800654479134,0.25283093277013463,0.884702083484747,0.25218853376010836,1.0563380667423765,0.25544434931077714,0.9627621944673216
vinyl,37,64.1891891891892,"[""Vinyl"", ""Musk"", ""Rose"", ""Patchouli"", ""Sandalwood""]","{""winter"": 0.23179401839321795, ""spring"": 0.2893776170428878, ""summer"": 0.19296217564492035, ""autumn"": 0.2858661889189738}",winter,spring,27,0.5443936220911761,0.4556063779088238,24,Neutral,Vinyl,Musk,Rose,Patchouli,Sandalwood,0.23179401839321795,1.1029606019506004,0.2893776170428878,1.0125856749674393,0.19296217564492035,0.8082575703820551,0.2858661889189738,1.0774212078295113
asphault,29,51.89655172413793,"[""Asphalt"", ""Leather"", ""Woody Notes"", ""Lavender"", ""Patchouli""]","{""winter"": 0.2382103573268877, ""spring"": 0.28460824777913474, ""summer"": 0.19111776767366206, ""autumn"": 0.2860636272203155}",winter,autumn,15,0.5073749592396077,0.4926250407603923,13,Night leaning,Asphalt,Leather,Woody Notes,Lavender,Patchouli,0.2382103573268877,1.1334918861556742,0.28460824777913474,0.995896771919383,0.19111776767366206,0.8005319282935986,0.2860636272203155,1.0781653469454655
gasoline,25,37.56,"[""Gasoline"", ""Leather"", ""Amber"", ""Metallic notes"", ""Woody Notes""]","{""winter"": 0.28600292740743877, ""spring"": 0.22007697544881386, ""summer"": 0.16074408999174045, ""autumn"": 0.33317600715200685}",winter,autumn,14,0.46605605211478784,0.5339439478852122,9,Night leaning,Gasoline,Leather,Amber,Metallic notes,Woody Notes,0.28600292740743877,1.36090639076721,0.22007697544881386,0.7700899433994658,0.16074408999174045,0.6733061917226507,0.33317600715200685,1.2557305129473575
rubber,21,53.285714285714285,"[""Rubber"", ""Leather"", ""Cedar"", ""Patchouli"", ""Musk""]","{""winter"": 0.3214481223036293, ""spring"": 0.1974980755214554, ""summer"": 0.1267655222585247, ""autumn"": 0.35428827991639067}",winter,autumn,10,0.36662889088844364,0.6333711091115564,5,Night leaning,Rubber,Leather,Cedar,Patchouli,Musk,0.3214481223036293,1.529567574390327,0.1974980755214554,0.6910822065309365,0.1267655222585247,0.5309807100093437,0.35428827991639067,1.3353020443265926
milky,20,50.6,"[""Fig Milk"", ""Sandalwood"", ""Massoia"", ""Musk"", ""Fig Leaf""]","{""winter"": 0.20180375276575846, ""spring"": 0.2992469381035464, ""summer"": 0.23129992042642136, ""autumn"": 0.2676493887042737}",spring,spring,9,0.6177884167114936,0.3822115832885064,5,Neutral,Fig Milk,Sandalwood,Massoia,Musk,Fig Leaf,0.20180375276575846,0.9602559641932659,0.2992469381035464,1.0471202503426877,0.23129992042642136,0.9688422670847067,0.2676493887042737,1.0087626268188197
industrial glue,12,57.416666666666664,"[""Industrial glue"", ""Leather"", ""Musk"", ""Ink"", ""Hawthorn""]","{""winter"": 0.22381537506727023, ""spring"": 0.2813159630482813, ""summer"": 0.2138296293642817, ""autumn"": 0.2810390325201667}",winter,spring,8,0.5512262737262736,0.4487737262737263,5,Neutral,Industrial glue,Leather,Musk,Ink,Hawthorn,0.22381537506727023,1.0649953028176098,0.2813159630482813,0.9843764601881473,0.2138296293642817,0.8956647391025586,0.2810390325201667,1.0592277981882654
hot iron,10,37.5,"[""Hot iron"", ""Musk"", ""Metallic notes"", ""Cedar"", ""Amber""]","{""winter"": 0.24834695718286182, ""spring"": 0.23383057798088183, ""summer"": 0.20148045100709897, ""autumn"": 0.31634201382915733}",autumn,autumn,6,0.5997811379632274,0.40021886203677265,5,Neutral,Hot iron,Musk,Metallic notes,Cedar,Amber,0.24834695718286182,1.181725530649085,0.23383057798088183,0.8182163363302083,0.20148045100709897,0.8439379337748745,0.31634201382915733,1.1922836901975733
sake,9,50.333333333333336,"[""Sake"", ""Rose"", ""Musk"", ""Cherry Blossom"", ""Vetiver""]","{""winter"": 0.22707833371042574, ""spring"": 0.32380524316584697, ""summer"": 0.20262909547560448, ""autumn"": 0.24648732764812284}",spring,spring,4,0.44149144573592797,0.5585085542640721,3,Night leaning,Sake,Rose,Musk,Cherry Blossom,Vetiver,0.22707833371042574,1.0805216518327492,0.32380524316584697,1.1330542909975334,0.20262909547560448,0.8487492424380576,0.24648732764812284,0.9290034448410499
spice,8,52.125,"[""Amber"", ""Clove"", ""Tonka Bean"", ""Vanilla"", ""Cherry Tree""]","{""winter"": 0.25499956079992975, ""spring"": 0.2507816134583915, ""summer"": 0.16883989368104965, ""autumn"": 0.3253789320606291}",autumn,autumn,3,0.45250236071765815,0.5474976392823419,2,Night leaning,Amber,Clove,Tonka Bean,Vanilla,Cherry Tree,0.25499956079992975,1.2133810485131071,0.2507816134583915,0.8775311370939705,0.16883989368104965,0.7072169547949544,0.3253789320606291,1.226343567627739
bacon,7,74.57142857142857,"[""Guaiac Wood"", ""Maple"", ""Pepper"", ""Nutmeg"", ""Grapefruit""]","{""winter"": 0.39502164502164505, ""spring"": 0.10551948051948051, ""summer"": 0.06926406926406926, ""autumn"": 0.4301948051948052}",winter,autumn,2,0.6296296296296297,0.37037037037037035,1,Neutral,Guaiac Wood,Maple,Pepper,Nutmeg,Grapefruit,0.39502164502164505,1.8796572681072168,0.10551948051948051,0.36923213168970215,0.06926406926406926,0.2901252960640773,0.4301948051948052,1.621391492179383
varnish,5,33.6,"[""Varnish Accord"", ""Paper"", ""Cedar"", ""Amber"", ""Rose Oxide""]","{""winter"": 0.25331614195224644, ""spring"": 0.23704169021292779, ""summer"": 0.15404273815207134, ""autumn"": 0.35559942968275443}",autumn,autumn,3,0.6320770732535439,0.36792292674645616,3,Neutral,Varnish Accord,Paper,Cedar,Amber,Rose Oxide,0.25331614195224644,1.2053707267694893,0.23704169021292779,0.8294526105110153,0.15404273815207134,0.6452363467486114,0.35559942968275443,1.3402437290017308
Pear,4,83.0,"[""Ambroxan"", ""Vetiver"", ""Jasmine"", ""Borneol"", ""Mugane""]","{""winter"": 0.148068669527897, ""spring"": 0.3649856938483548, ""summer"": 0.2907725321888412, ""autumn"": 0.19617310443490701}",spring,spring,1,0.7518220176448025,0.24817798235519756,1,Day leaning,Ambroxan,Vetiver,Jasmine,Borneol,Mugane,0.148068669527897,0.7045648114847651,0.3649856938483548,1.27715228612212,0.2907725321888412,1.2179542421477536,0.19617310443490701,0.7393706262472013
meat,4,75.25,"[""Fire"", ""Salt"", ""Spray Paint"", ""Bluebell"", ""Strawberry Syrup""]","{""winter"": 0.3135306553911205, ""spring"": 0.22755461592670892, ""summer"": 0.159830866807611, ""autumn"": 0.29908386187455954}",winter,winter,3,0.36923076923076925,0.6307692307692307,2,Night leaning,Fire,Salt,Spray Paint,Bluebell,Strawberry Syrup,0.3135306553911205,1.4918933749770769,0.22755461592670892,0.7962555871277126,0.159830866807611,0.6694809884176295,0.29908386187455954,1.1272382261147313
bbq,3,79.66666666666667,"[""Ember"", ""Pecan"", ""Smoke"", ""Spices"", ""Cedarwood""]","{""winter"": 0.2702702702702703, ""spring"": 0.13513513513513514, ""summer"": 0.2702702702702703, ""autumn"": 0.32432432432432434}",winter,autumn,1,,,0,INSUFFICIENT_DATA,Ember,Pecan,Smoke,Spices,Cedarwood,0.2702702702702703,1.2860446617779107,0.13513513513513514,0.47286277156103235,0.2702702702702703,1.1320767464662476,0.32432432432432434,1.22236878227333
tennis ball,3,96.66666666666667,"[""Laurels"", ""Lime (Linden) Blossom"", ""Ivy"", ""Oakmoss"", ""Vetiver""]","{""winter"": 0.0371965348084751, ""spring"": 0.4617875656681627, ""summer"": 0.42854121003374734, ""autumn"": 0.07247468948961487}",summer,spring,3,0.9178143245531935,0.0821856754468066,3,Day leaning,Laurels,Lime (Linden) Blossom,Ivy,Oakmoss,Vetiver,0.0371965348084751,0.17699469860017988,0.4617875656681627,1.6158798964895953,0.42854121003374734,1.79502369349234,0.07247468948961487,0.27315496030592956
wet plaster,2,71.5,"[""Carrot Seeds"", ""Pink Grapefruit"", ""Green Leaves"", ""Apricot"", ""Ambergris""]","{""winter"": 0.03896103896103896, ""spring"": 0.42207792207792205, ""summer"": 0.42207792207792205, ""autumn"": 0.11688311688311688}",summer,spring,1,0.8421052631578947,0.15789473684210525,1,Day leaning,Carrot Seeds,Pink Grapefruit,Green Leaves,Apricot,Ambergris,0.03896103896103896,0.18539085384071177,0.42207792207792205,1.4769285267588086,0.42207792207792205,1.767951022890471,0.11688311688311688,0.4405290091959079
brown scotch tape,1,93.0,"[""Industrial glue"", ""Hawthorn"", ""Lilac"", ""Styrax"", ""Aldehydes""]","{""winter"": 0.18475073313782991, ""spring"": 0.36363636363636365, ""summer"": 0.21407624633431085, ""autumn"": 0.2375366568914956}",spring,spring,1,0.6868131868131868,0.3131868131868132,1,Day leaning,Industrial glue,Hawthorn,Lilac,Styrax,Aldehydes,0.18475073313782991,0.8791114682124075,0.36363636363636365,1.2724307307460505,0.21407624633431085,0.8966977396496583,0.2375366568914956,0.8952686315916838
foresty,1,44.0,"[""Cedar Leaves"", ""Green Apple"", ""Pineapple"", ""Geranium"", ""Grapefruit""]","{""winter"": 0.08366533864541832, ""spring"": 0.33266932270916333, ""summer"": 0.3207171314741036, ""autumn"": 0.26294820717131473}",summer,spring,1,0.6027397260273972,0.3972602739726027,1,Neutral,Cedar Leaves,Green Apple,Pineapple,Geranium,Grapefruit,0.08366533864541832,0.398110239920891,0.33266932270916333,1.1640713408269396,0.3207171314741036,1.3433827049202065,0.26294820717131473,0.9910440127196121
