역할,순위,화해 순위,브랜드,향수명,출시,국내 상품명,국내 브랜드 표기,지도 영역,영역 성격,대표 향,잘 맞는 계절,밤/낮,성별 표기,매칭 근거,상품 묶음 수,무신사,올리브영,롯데,지도 x,지도 y,fragrantica_id
지도 200,92,,SW19,Midnight,,SW19 Midnight 오 드 퍼퓸 50ml | SW19 Midnight 오 드 퍼퓸 12ml | SW19 Midnight 오 드 퍼퓸 50ml&12ml 기획세트 ‖ SW19 Midnight 오일 퍼퓸 10ml,SW19,1,fruity · rose · floral,powdery(100) · musky(58) · white floral(45),겨울,비슷,공용,사람 검토,2,15,,,0.4201,0.2578,93865
지도 200,93,,Youssoful,Saint Moritz,2021,세인트모리츠 니치향수,Youssoful,1,fruity · rose · floral,fruity(100) · citrus(89) · sweet(84),봄,낮 우세,공용,자동 판정,1,16,,,0.1394,0.3277,95034
지도 200,94,,Clean,Apple Blossom,2023,클리어 애플 블로썸 EDP 30ML | 클리어 애플 블로썸 EDP 60ML ‖ 클린 애플블로썸 EDP 30/60ml 2종 중 택1,Clean,1,fruity · rose · floral,fruity(100) · fresh(97) · aquatic(66),봄,낮 우세,공용,사람 검토,2,48,203,,0.096,0.3055,82586
지도 200,95,,Montale,Be My Plum,2025,[몽탈] 비 마이 플럼 오드퍼퓸 100ml (바이알 3종),Montale,6,white floral · animalic · fresh,white floral(100) · musky(94) · tuberose(73),봄,낮 우세,공용,자동 판정,1,,,17,0.3587,0.0062,116396
지도 200,96,,Mancera,Jasmin Exclusif,2022,[만세라] 자스민 엑스클루시프 오드퍼퓸 120ml (바이알 3종),Mancera,0,earthy · green · aromatic,white floral(100) · oud(90) · woody(87),가을,밤 우세,공용,자동 판정,1,,,18,0.6382,0.4435,74107
지도 200,97,,Rance 1795,Josephine,2005,[랑세] 조세핀 오드퍼퓸 포 우먼 100ml (바이알3종) | [랑세] 조세핀 오드퍼퓸 포 우먼 50ml (바이알3종) ‖ [랑세] 조세핀 오드퍼퓸 포 우먼 50ml (바이알 3종),Rance 1795,1,fruity · rose · floral,floral(100) · fresh spicy(58) · rose(57),봄,낮 우세,여성,사람 확정,2,,,19,0.1315,0.0734,1929
지도 200,98,,Montale,Bubble Forever,2024,[몽탈] 버블 포에버 오드퍼퓸 100ml (바이알 3종),Montale,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(80) · sweet(56),여름,낮 우세,공용,자동 판정,1,,,20,0.5429,0.0699,90739
지도 200,99,,Nishane,Hacivat,2017,[니샤네] 하지밧 엑스트레 드 퍼퓸 50ml (바이알3종),Nishane,1,fruity · rose · floral,woody(100) · citrus(78) · mossy(60),여름,낮 우세,공용,자동 판정,1,,,21,0.636,0.3176,44174
지도 200,100,,John Varvatos,Artisan Blu,2016,아티산 블루 EDT 75ML | 아티산 블루 EDT 125ML | 존바바토스 아티산 블루 EDT 125ml | 존바바토스 아티산 블루 EDT 75ml (단품/기획),John Varvatos,2,fresh spicy · aromatic · citrus,aromatic(100) · fresh spicy(87) · citrus(72),여름,낮 우세,남성,자동 판정,1,120,90,,0.8746,0.3224,35456
지도 200,101,,Nishane,Wulóng Chá,2015,[니샤네] 우롱차 엑스트레 드 퍼퓸 50ml (바이알3종) | [니샤네] 우롱차 엑스트레 드 퍼퓸 100ml (바이알3종),Nishane,2,fresh spicy · aromatic · citrus,citrus(100) · fresh spicy(36) · aromatic(33),여름,낮 우세,공용,자동 판정,1,,,22,0.7586,0.1438,30567
지도 200,102,,John Varvatos,Artisan Black,2010,아티산 블랙 EDT 125ML | 아티산 블랙 EDT 75ML | 존바바토스 아티산 블랙 EDT 125ml | 존바바토스 아티산 블랙 EDT 75ml  (+공병) 기획,John Varvatos,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(37) · woody(32),봄,낮 우세,남성,자동 판정,1,168,70,,0.735,0.132,8339
지도 200,103,,Rance 1795,Désirée,2019,[랑세] 데지레 오드퍼퓸 포 우먼 50ml (바이알 3종) ‖ [랑세] 데지레 오드퍼퓸 포 우먼 50ml (바이알3종) | [랑세] 데지레 오드퍼퓸 포 우먼 100ml (바이알3종),Rance 1795,2,fresh spicy · aromatic · citrus,citrus(100) · fresh spicy(68) · aromatic(55),여름,낮 우세,여성,자동 판정,2,,,23,0.6773,0.0936,54976
지도 200,104,,Dolce&Gabbana,Light Blue Eau de Toilette,2025,라이트 블루 오 드 뚜왈렛 30ml (리뉴얼) | 라이트 블루 오 드 뚜왈렛 10ml (리뉴얼) | 라이트 블루 오 드 뚜왈렛 100ml (리뉴얼) ‖ [베스트/리뉴얼] 돌체앤가바나 라이트블루 EDT 50ml,Dolce&Gabbana,2,fresh spicy · aromatic · citrus,citrus(100) · woody(66) · fresh(62),여름,낮 우세,여성,사람 검토,2,94,124,,0.7166,0.2626,104985
지도 200,105,,Rance 1795,Mathilde,2023,랑세 마틸드 오드퍼퓸 50ml (바이알 3종) | [랑세] 마틸드 오드퍼퓸 100ml (바이알 3종) ‖ 랑세 마틸드 오드퍼퓸 100ml (랑세바이알 3종증정),Rance 1795,6,white floral · animalic · fresh,white floral(100) · fresh(59) · rose(51),,,여성,사람 확정,2,,,24,0.2143,0.007,87956
지도 200,106,,Issey Miyake,Le Sel d’Issey,2024,르셀디세이 오드뚜왈렛 100ml | 르셀디세이 오드뚜왈렛 50ml | 이세이미야케 르 셀 디세이 EDT (50ml/100ml/기획) ‖ 르셀디세이 오 드 퍼퓸 100ml | 르셀디세이 오 드 퍼퓸 50ml | 이세이미야케 르 셀 디세이 EDP (50ml/100ml),Issey Miyake,4,salty · marine · aquatic,marine(100) · woody(79) · salty(70),여름,낮 우세,남성,자동 판정,2,114,104,,0.8419,0.0123,95642
지도 200,107,,Essential Parfums,The Musc,2018,[에센셜퍼퓸] 더 머스크 바이 칼리스 베커 EDP 100ml (바이알2종),Essential Parfums,3,animalic · musky · balsamic,musky(100) · powdery(69) · lavender(53),봄,낮 우세,공용,자동 판정,1,,,25,0.4081,0.2337,50790
지도 200,108,,Essential Parfums,Orange X Santal,2018,[에센셜퍼퓸] 오렌지상탈 바이 나탈리 그라시아세토 EDP 100ml (바이알2종),Essential Parfums,2,fresh spicy · aromatic · citrus,woody(100) · citrus(93) · fresh spicy(54),여름,낮 우세,공용,자동 판정,1,,,26,0.811,0.3176,50786
지도 200,109,,Elizabeth Arden,Green Tea Strawberry Basil,2025,그린티 스트로베리 바질 EDT 100ml +향수 공병 증정 | 엘리자베스아덴 그린티 스트로베리 바질 EDT 100ml,Elizabeth Arden,1,fruity · rose · floral,green(100) · fruity(80) · sweet(58),여름,낮 우세,여성,자동 판정,1,111,115,,0.2914,0.5171,121230
지도 200,110,,Clean,Clean Warm Cotton,2007,"[단독기획] 클린 웜코튼 EDP 30ml (+10ml 롤러볼) ‖ 클린 웜코튼 EDP 30ml,60ml 단품/기획 중 택 1",Clean,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(77) · marine(69),여름,낮 우세,여성,사람 확정,2,,27,,0.8061,0.0375,3024
지도 200,111,,Essential Parfums,Fig Infusion,2022,[에센셜퍼퓸] 피그 인퓨전 바이 나탈리 로슨 EDP 100ml (바이알2종),Essential Parfums,1,fruity · rose · floral,woody(100) · fruity(65) · citrus(60),봄,낮 우세,공용,자동 판정,1,,,27,0.6109,0.369,73092
지도 200,112,,BMW Fragrances,Amberness,2025,비엠더블유 앰버니스 오드퍼퓸 50ml | 비엠더블유 앰버니스 오드퍼퓸 100ml ‖ [비엠더블유] 더 센트 오브 앰버니스 오드퍼퓸 50ml | [BMW] 더 센트 오브 앰버니스 오드퍼퓸 50ml | [BMW] 더 센트 오브 앰버니스 오드퍼퓸 100ml | [비엠더블유] 더 센트 오브 앰버니스 오드퍼퓸 100ml,BMW Fragrances,2,fresh spicy · aromatic · citrus,aromatic(100) · warm spicy(56) · amber(51),가을,비슷,공용,사람 확정,2,,,29,0.8884,0.3321,106299
지도 200,113,,Parfums Berdoues,Assam of India,2015,베르두콜렉션 그랑크뤼 아쌈 오브 인디아 EDP 100m,Parfums Berdoues,2,fresh spicy · aromatic · citrus,citrus(100) · green(78) · fresh(59),여름,낮 우세,공용,자동 판정,1,,,31,0.9201,0.1687,31436
지도 200,114,,Ralph Lauren,Polo,1978,폴로 랄프 EDT 30ML | 폴로 랄프 EDT 50ML | 폴로 랄프 EDT 100ML | 랄프로렌 폴로 랄프 EDT 50ml ‖ 폴로 EDT 125ML,Ralph Lauren,2,fresh spicy · aromatic · citrus,woody(100) · aromatic(96) · fresh spicy(54),겨울,비슷,남성,사람 검토,2,88,179,,0.8563,0.4479,890
지도 200,115,,Mancera,Intense Cedrat Boise,2021,[만세라] 인텐스 세드라 부아제 EXDP 120ml (바이알 3종) | [만세라] 인텐스 세드라 부아제 EXDP 60ml (바이알 3종),Mancera,0,earthy · green · aromatic,woody(100) · citrus(78) · animalic(76),봄,낮 우세,남성,사람 확정,1,,,34,0.6689,0.4247,72796
지도 200,116,,Adidas,Spark Up,2024,아디다스 바이브 스파크 업 EDP 100ML ‖ [김재원PICK] 아디다스 스파크업 EDP (30ml기획/50ml/100ml),Adidas,2,fresh spicy · aromatic · citrus,citrus(100) · fresh spicy(47) · aromatic(39),여름,낮 우세,공용,사람 확정,2,173,99,,0.7834,0.1112,98468
지도 200,117,,Banana Republic,Dark Cherry & Amber,2019,바나나리퍼블릭 다크체리 & 앰버 오드퍼퓸 75ml,Banana Republic,1,fruity · rose · floral,sweet(100) · floral(97) · cherry(74),가을,밤 우세,공용,자동 판정,1,,,35,0.1385,0.2836,59392
지도 200,118,,Replay,Signature Lovers for Woman,2020,[리플레이] 러버즈 포 우먼 오드뚜왈렛 30ml,Replay,1,fruity · rose · floral,sweet(100) · woody(97) · white floral(93),봄,비슷,여성,자동 판정,1,,,36,0.1865,0.3837,60320
지도 200,119,,Mancera,Instant Crush,2019,[만세라] 인스턴트 크러쉬 오드퍼퓸 120ml (바이알 3종) | [만세라] 인스턴트 크러쉬 오드퍼퓸 60ml (바이알 3종),Mancera,0,earthy · green · aromatic,woody(100) · warm spicy(99) · vanilla(63),겨울,밤 우세,공용,자동 판정,1,,,38,0.524,0.4523,54885
지도 200,120,,Narciso Rodriguez,Pure Musc Blanc For Her,2026,[NEW] 나르시소 로드리게즈 포 허 퓨어 머스크 블랑 EDPI (30ml/50ml/기획),Narciso Rodriguez,6,white floral · animalic · fresh,white floral(100) · fresh(82) · musky(76),봄,낮 우세,여성,사람 확정,1,,40,,0.4004,0.1221,122211
지도 200,121,,Rance 1795,Helene,2010,[랑세] 헬레네 오드퍼퓸 포 우먼 50ml (바이알 3종),Rance 1795,1,fruity · rose · floral,powdery(100) · white floral(93) · warm spicy(84),봄,낮 우세,여성,사람 확정,1,,,40,0.4407,0.3423,10728
지도 200,122,,Mancera,Tonka Cola,2022,[만세라] 통카 콜라 오드퍼퓸 60ml (바이알 3종) | [만세라] 통카 콜라 오드퍼퓸 120ml (바이알 3종),Mancera,5,coconut · lactonic · vanilla,warm spicy(100) · coca-cola(73) · vanilla(61),가을,밤 우세,공용,자동 판정,1,,,41,0.4332,0.4566,76893
지도 200,123,,Kenneth Cole,Mankind Rise,2022,케네스콜 맨카인드 라이즈 오드뚜왈렛 100ml,Kenneth Cole,0,earthy · green · aromatic,woody(100) · citrus(37) · fruity(37),여름,낮 우세,남성,사람 확정,1,,,42,0.7133,0.4023,94718
지도 200,124,,BMW Fragrances,BMW M 2025,2025,비엠더블유 M2025 오드뚜왈렛 50ml | [BMW] M 2025 오드뚜왈렛 50ml | [BMW] M 2025 오드뚜왈렛 100ml | 비엠더블유 M2025 오드뚜왈렛 100ml,BMW Fragrances,0,earthy · green · aromatic,warm spicy(100) · aromatic(98) · lavender(78),봄,낮 우세,공용,자동 판정,1,,,43,0.8926,0.3574,115749
지도 200,125,,Sennok,Soap Clean Soap,,퍼퓸 솝클린솝 50ml,Sennok,6,white floral · animalic · fresh,aldehydic(100) · musky(100) · fresh(62),,,공용,자동 판정,1,47,,,0.4022,0.141,109565
지도 200,126,,Mancera,Fabulous Yuzu,2022,[만세라] 패블러스 유주 오드퍼퓸 120ml (바이알 3종),Mancera,2,fresh spicy · aromatic · citrus,citrus(100) · vanilla(41) · aromatic(37),여름,낮 우세,공용,사람 확정,1,,,47,0.8025,0.1284,75731
지도 200,127,,Philosophy,Amazing Grace,1996,[원지안PICK] 필로소피 어메이징 그레이스 EDT 15ml/60ml/60ml기획 ‖ 필로소피 어메이징 그레이스 EDP 60ml,Philosophy,1,fruity · rose · floral,floral(100) · citrus(85) · musky(82),봄,낮 우세,여성,사람 검토,2,,49,,0.1909,0.1379,4849
지도 200,128,,Mancera,Coco Vanille,2016,[만세라] 코코 바닐 오드퍼퓸 60ml (바이알 3종) | [만세라] 코코 바닐 오드퍼퓸 120ml (바이알 3종),Mancera,5,coconut · lactonic · vanilla,vanilla(100) · sweet(85) · coconut(77),여름,낮 우세,여성,자동 판정,1,,,49,0.1696,0.5707,42782
지도 200,129,,Versace,Eros,2012,에로스 EDT 100ML + 에로스 미니어처 [선물박스] | 에로스 EDT 30ML + 에로스미니어처 [선물박스] | 에로스 EDT 50ML + 에로스 미니어처 [선물박스] | 베르사체 에로스 EDT 30ml,Versace,2,fresh spicy · aromatic · citrus,vanilla(100) · aromatic(91) · green(84),봄,밤 우세,남성,사람 검토,1,115,230,,0.8965,0.2375,16657
지도 200,130,,Coach,Coach Cherry,2026,체리 퍼퓸 30ML | 코치 체리 퍼퓸 50ml/30ml,Coach,5,coconut · lactonic · vanilla,sweet(100) · cherry(95) · white floral(84),봄,비슷,여성,자동 판정,1,146,175,,0.2144,0.2903,122669
지도 200,131,,Sabrina Carpenter,Sweet Tooth,2022,스위트투스 EDP 30ML | [단독기획] 사브리나카펜터 스위트 투스 EDP 30ml/75ml,Sabrina Carpenter,5,coconut · lactonic · vanilla,sweet(100) · vanilla(63) · powdery(35),겨울,낮 우세,여성,사람 확정,1,319,95,,0.1933,0.5531,76824
지도 200,132,,Mancera,Sicily,2016,[만세라] 시실리 오드퍼퓸 60ml (바이알 3종) | [만세라] 시실리 오드퍼퓸 120ml (바이알 3종),Mancera,2,fresh spicy · aromatic · citrus,citrus(100) · fruity(62) · sweet(42),여름,낮 우세,공용,사람 확정,1,,,51,0.6248,0.2551,42670
지도 200,133,,Mancera,Roses Greedy,2012,[만세라] 로즈 그리디 오드퍼퓸 60ml (바이알 3종) | [만세라] 로즈 그리디 오드퍼퓸 120ml (바이알 3종),Mancera,1,fruity · rose · floral,floral(100) · rose(90) · sweet(63),봄,낮 우세,공용,사람 확정,1,,,53,0.1687,0.2214,18042
지도 200,134,,Luafee,"Oh, Love",2024,"[러블리한 플로럴향] 루아페 오,러브 EDP 30ml",Luafee,2,fresh spicy · aromatic · citrus,fresh spicy(100) · citrus(83) · white floral(80),,,여성,자동 판정,1,,54,,0.638,0.1229,99134
지도 200,135,,Mancera,French Riviera,2022,[만세라] 프렌치 리비에라 오드퍼퓸 120ml (바이알 3종),Mancera,2,fresh spicy · aromatic · citrus,citrus(100) · marine(78) · aromatic(70),여름,낮 우세,공용,자동 판정,1,,,55,0.8252,0.0228,74636
지도 200,136,,Ralph Lauren,Polo Blue,2003,폴로 블루 EDT 125ML | 폴로 블루 EDT 40ML | 랄프로렌 폴로 블루 EDT 40ml | 랄프로렌 폴로 블루 EDT 택 1 (40ml/75ml),Ralph Lauren,2,fresh spicy · aromatic · citrus,ozonic(100) · aquatic(88) · aromatic(56),여름,낮 우세,남성,자동 판정,1,135,231,,0.993,0.3419,1198
지도 200,137,,Montblanc,Starwalker,2005,스타워커 EDT 50ML | 몽블랑 스타워커 오드뚜왈렛 75ml | 몽블랑 스타워커 오드뚜왈렛 50ml,Montblanc,2,fresh spicy · aromatic · citrus,woody(100) · citrus(72) · fresh spicy(60),여름,낮 우세,남성,사람 확정,1,259,126,,0.7593,0.3502,4023
지도 200,138,,Etat Libre d'Orange,You Or Someone Like You,2017,유 오어 썸원 라이크 유 EDP 30ml | 유 오어 썸원 라이크 유 EDP 50ml | 유 오어 썸원 라이크 유 EDP 100ml,Etat Libre d'Orange,2,fresh spicy · aromatic · citrus,green(100) · aromatic(57) · fresh spicy(38),여름,낮 우세,공용,자동 판정,1,58,,,0.9509,0.2452,43531
지도 200,139,,Calvin Klein,CK One Night Essence,2026,[NEW] 캘빈클라인 씨케이원 나이트 에센스 EDP (50ml/100ml/200ml),Calvin Klein,0,earthy · green · aromatic,powdery(100) · woody(75) · iris(67),가을,밤 우세,공용,자동 판정,1,,59,,0.6943,0.498,129391
지도 200,140,,RboW,Tokyo Fig,2025,도쿄 피그 오드퍼퓸 향수 30ML,RboW,1,fruity · rose · floral,white floral(100) · fruity(91) · woody(87),,,여성,자동 판정,1,60,,,0.2248,0.3626,123059
지도 200,141,,Lanvin,Sunny Magnolia,2021,랑방 레 플레르 드 랑방 써니 매그놀리아 EDT 50ml | 랑방 레 플레르 드 랑방 써니 매그놀리아 EDT 90ml,Lanvin,1,fruity · rose · floral,fruity(100) · floral(70) · white floral(57),봄,낮 우세,여성,사람 확정,1,,61,,0.1521,0.2416,69742
지도 200,142,,Essential Parfums,Nice Bergamote,2018,[에센셜퍼퓸] 나이스 베르가못 바이 앙투완메종디유 EDP 100ml (바이알2종),Essential Parfums,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(64) · woody(58),여름,낮 우세,공용,자동 판정,1,,,63,0.6162,0.1488,50789
지도 200,143,,Rance 1795,Rue Rance Eau De La Couronne,2009,[랑세] 오드라 꾸론느 오드뚜왈렛 100ml (바이알 3종) | [랑세] 오드라 꾸론느 오드뚜왈렛 50ml (바이알 3종),Rance 1795,1,fruity · rose · floral,fruity(100) · floral(84) · white floral(79),봄,낮 우세,여성,사람 확정,1,,,64,0.0945,0.2657,6420
지도 200,144,,Rance 1795,Francois Charles,2007,[랑세] 프랑수와찰스 오드퍼퓸 포 맨 100ml (바이알 3종),Rance 1795,2,fresh spicy · aromatic · citrus,woody(100) · aromatic(87) · fresh spicy(83),가을,비슷,남성,사람 확정,1,,,66,0.8339,0.3668,3172
지도 200,145,,Jimmy Choo,I Want Choo,2020,지미추 아이 원 추 EDP (40m/60ml) | 지미추 아이 원 추 EDP 40ml | 지미추 아이 원 추 EDP 60ml,Jimmy Choo,6,white floral · animalic · fresh,white floral(100) · vanilla(68) · fruity(53),봄,낮 우세,여성,자동 판정,1,,67,,0.4158,0.0398,64015
지도 200,146,,Rance 1795,Eugenie,2006,[랑세] 유제니 오드퍼퓸 포 우먼 100ml (바이알 3종) | [랑세] 유제니 오드퍼퓸 포 우먼 50ml (바이알 3종) ‖ [랑세] 유제니 오드퍼퓸 포 우먼100ml (바이알3종),Rance 1795,1,fruity · rose · floral,white floral(100) · fruity(63) · citrus(58),봄,낮 우세,여성,자동 판정,2,,,67,0.2145,0.0898,1924
지도 200,147,,Lalique,L'Amour,2013,[라리끄] 라무르 오드퍼퓸100ml,Lalique,6,white floral · animalic · fresh,white floral(100) · citrus(37) · tuberose(28),봄,낮 우세,여성,자동 판정,1,,,72,0.3549,0.0177,16931
지도 200,148,,BMW Fragrances,BMW M  1985,2025,[BMW] M 1985 오드뚜왈렛 100ml | [BMW] M 1985 오드뚜왈렛 50ml | 비엠더블유 M1985 오드뚜왈렛 100ml | 비엠더블유 M1985 오드뚜왈렛 50ml,BMW Fragrances,0,earthy · green · aromatic,woody(100) · fruity(28) · citrus(24),봄,,공용,자동 판정,1,,,73,0.7349,0.4219,115747
지도 200,149,,BMW Fragrances,BMW M 1972,2025,[BMW] M 1972 오드뚜왈렛 100ml | [BMW] M 1972 오드뚜왈렛 50ml | 비엠더블유 M1972 오드뚜왈렛 50ml | 비엠더블유 M1972 오드뚜왈렛 100ml,BMW Fragrances,2,fresh spicy · aromatic · citrus,aromatic(100) · citrus(94) · woody(43),,,공용,자동 판정,1,,,74,0.837,0.2087,115746
지도 200,150,,Youssoful,Berry Sexy,2021,베리섹시 니치향수,Youssoful,5,coconut · lactonic · vanilla,fruity(100) · sweet(80) · vanilla(72),여름,,공용,자동 판정,1,76,,,0.2205,0.5068,95035
지도 200,151,,Banana Republic,Neroli Woods,2018,[바나나리퍼블릭] 네롤리 우드 오드퍼퓸 30ml | 바나나리퍼블릭 네롤리 우드 오드퍼퓸 75ml,Banana Republic,6,white floral · animalic · fresh,white floral(100) · citrus(95) · woody(91),여름,낮 우세,공용,자동 판정,1,,,77,0.5303,0.0162,50225
지도 200,152,,Nishane,Hundred Silent Ways,2016,[니샤네] 헌드레드 사일런트 웨이즈 엑스트레 드 퍼퓸 50ml (바이알 3종) | [니샤네] 헌드레드 사일런트 웨이즈 엑스트레 드 퍼퓸 100ml (바이알 3종) | [니샤네] 헌드레드사일런트 웨이즈 엑스트레 드 퍼퓸 50ml(+바이알3종) ‖ [니샤네] 헌드레드사일런트 웨이즈 엑스트레 드 퍼퓸 100ml (바이알3종),Nishane,6,white floral · animalic · fresh,white floral(100) · vanilla(67) · powdery(58),가을,비슷,공용,자동 판정,2,,,79,0.3702,0.0149,37602
지도 200,153,,Jimmy Choo,I Want Choo Forever,2022,지미추 아이 원 추 포에버 EDP 60ml,Jimmy Choo,5,coconut · lactonic · vanilla,vanilla(100) · sweet(86) · almond(70),가을,밤 우세,여성,자동 판정,1,,80,,0.3036,0.4635,75969
지도 200,154,,Nishane,Nanshe,2020,[니샤네] 난쉬 엑스트레 드 퍼퓸 100ml (바이알 3종) ‖ [니샤네] 난쉬 엑스트레 드 퍼퓸 100ml (바이알3종),Nishane,1,fruity · rose · floral,powdery(100) · floral(41) · woody(36),가을,낮 우세,공용,자동 판정,2,,,80,0.4389,0.3129,64093
지도 200,155,,Sennok,Slow September,2023,퍼퓸 슬로우셉템버 50ml,Sennok,0,earthy · green · aromatic,woody(100) · musky(36) · aromatic(27),가을,,공용,자동 판정,1,82,,,0.7833,0.4918,109564
지도 200,156,,Jimmy Choo,I Want Choo Le Parfum,2024,지미추 아이원추 르 파팡 퍼퓸 (40ml / 60ml),Jimmy Choo,1,fruity · rose · floral,sweet(100) · fruity(92) · white floral(60),가을,비슷,여성,사람 확정,1,,82,,0.1946,0.3913,95156
지도 200,157,,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,2015,포 힘 블루 느와르 EDT 50ml | 포 힘 블루 느와르 EDT 100ml ‖ 나르시소 로드리게즈 포 힘 블루 누와르 EDT (50ml/100ml),Narciso Rodriguez,0,earthy · green · aromatic,woody(100) · aromatic(69) · warm spicy(68),가을,비슷,남성,사람 확정,2,181,288,,0.7914,0.4946,31247
지도 200,158,,Burberry,Weekend for Women,1997,버버리 위크엔드 우먼 EDP 50ml/100ml,Burberry,1,fruity · rose · floral,floral(100) · powdery(59) · fruity(49),봄,낮 우세,여성,사람 확정,1,,83,,0.1134,0.2207,1000
지도 200,159,,Essential Parfums,Velvet Iris,2025,[에센셜퍼퓸] 벨벳아이리스 바이 도미니크 로피옹 EDP 100ml (바이알2종),Essential Parfums,0,earthy · green · aromatic,iris(100) · powdery(81) · woody(73),가을,낮 우세,공용,자동 판정,1,,,85,0.687,0.5093,103276
지도 200,160,,Chloé,Chloé Le Parfum,2025,[NEW] 끌로에 르 퍼퓸 EDP 30ml/50ml,Chloé,5,coconut · lactonic · vanilla,vanilla(100) · rose(81) · white floral(73),가을,비슷,여성,자동 판정,1,,86,,0.211,0.2787,111273
지도 200,161,,Essential Parfums,Divine Vanille,2019,[에센셜퍼퓸] 디바인 바닐 바이 올리비에 페슈 EDP 100ml (바이알2종),Essential Parfums,5,coconut · lactonic · vanilla,vanilla(100) · warm spicy(84) · amber(76),가을,비슷,공용,자동 판정,1,,,86,0.441,0.463,57088
지도 200,162,,Essential Parfums,Rose Magnetic,2018,[에센셜퍼퓸] 로즈 마그네틱 바이 소피라베 EDP 100ml (바이알2종),Essential Parfums,1,fruity · rose · floral,rose(100) · vanilla(47) · citrus(47),봄,낮 우세,공용,자동 판정,1,,,87,0.0075,0.1657,50787
지도 200,163,,Kenzo,Flower by Kenzo,2000,플라워바이겐조 EDP 50ml | 플라워바이겐조 EDP 30ml/50ml 2종 택1 | 플라워바이겐조 EDP 30ml | 플라워바이겐조 EDP 15ml,Kenzo,1,fruity · rose · floral,powdery(100) · floral(84) · violet(80),봄,낮 우세,여성,사람 확정,1,,88,,0.2086,0.2237,72
지도 200,164,,Essential Parfums,Mon Vetiver,2018,[에센셜퍼퓸] 몽 베티버 바이 브루노 조바노빅 EDP 100ml (바이알2종),Essential Parfums,2,fresh spicy · aromatic · citrus,aromatic(100) · woody(91) · citrus(40),봄,낮 우세,공용,자동 판정,1,,,88,0.8657,0.4043,50788
지도 200,165,,Ariana Grande,Thank U Next 2.0,2021,땡큐 넥스트 2.0 EDP 30ML ‖ 아리아나그란데 땡큐 넥스트 2.0 EDP 30ml 단품/기획 중 택1,Ariana Grande,1,fruity · rose · floral,fruity(100) · sweet(86) · woody(57),봄,낮 우세,여성,사람 검토,2,289,200,,0.1384,0.4268,68367
지도 200,166,,Burberry,Touch for Men,2000,버버리 터치 포 맨 EDT 50ml/100ml,Burberry,2,fresh spicy · aromatic · citrus,fresh spicy(100) · ozonic(83) · musky(81),봄,낮 우세,남성,사람 확정,1,,89,,0.9801,0.3557,815
지도 200,167,,Essential Parfums,Patchouli Mania,2023,[에센셜퍼퓸] 패출리 마니아 바이 파브리스 펠레그린 EDP 100ml (바이알2종),Essential Parfums,0,earthy · green · aromatic,woody(100) · patchouli(64) · warm spicy(53),가을,비슷,공용,자동 판정,1,,,89,0.7794,0.4738,85144
지도 200,168,,Essential Parfums,Néroli Botanica,2024,[에센셜퍼퓸] 네롤리 보타니카 바이 앤 플리포 EDP 100ml (바이알2종),Essential Parfums,6,white floral · animalic · fresh,white floral(100) · citrus(44) · fresh spicy(32),여름,낮 우세,공용,자동 판정,1,,,90,0.5198,0.0161,90834
지도 200,169,,Montale,Arabians Tonka,2019,[몽탈] 아라비안 통카 오드퍼퓸 100ml (바이알 3종),Montale,5,coconut · lactonic · vanilla,sweet(100) · vanilla(84) · amber(80),겨울,밤 우세,공용,자동 판정,1,,,91,0.3654,0.4763,57384
지도 200,170,,John Varvatos,Artisan Pure,2017,아티산 퓨어 EDT 75ML | 아티산 퓨어 EDT 125ML,John Varvatos,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(41) · fresh spicy(40),여름,낮 우세,남성,사람 확정,1,95,,,0.8044,0.1041,46623
지도 200,171,,Yugen,Inspire,2023,INSPIRE 오 드 퍼퓸 50ML,Yugen,1,fruity · rose · floral,sweet(100) · ozonic(92) · aquatic(81),,,공용,자동 판정,1,96,,,0.0555,0.335,108587
지도 200,172,,Ex Nihilo,Blue Talisman,2023,블루 탈리스만 오드퍼퓸 10ml,Ex Nihilo,2,fresh spicy · aromatic · citrus,citrus(100) · fruity(58) · musky(52),여름,낮 우세,공용,자동 판정,1,100,,,0.633,0.2358,84224
지도 200,173,,Lush,29 High Street,2013,29 하이 스트릿 30ml - 퍼퓸/향수,Lush,5,coconut · lactonic · vanilla,sweet(100) · fruity(54) · honey(35),봄,낮 우세,공용,자동 판정,1,101,,,0.1602,0.4688,39761
지도 200,174,,Maison Martin Margiela,When the Rain Stops,2021,레플리카 웬 더 레인 스탑스 EDT 30ML | 레플리카 웬 더 레인 스탑스 EDT 100ML,Maison Martin Margiela,2,fresh spicy · aromatic · citrus,aquatic(100) · woody(55) · green(51),봄,낮 우세,여성,사람 확정,1,102,,,0.9647,0.3774,70985
