commercial_identity_id,source_brands,existing_canonical_brand,query_cores,reconstructed_brand_latin,reconstructed_fragrance_latin,reconstruction_status
ci_91832dbcb560,"[""버버리""]",Burberry,"[""위크엔드 우먼""]",Burberry,Weekend for Women,OK
ci_0dcf5a90e211,"[""향수존""]",Rance 1795,"[""랑세 오드 프랑스"", ""랑세 오드프랑스""]",Rancé 1795,Eau de France,OK
ci_8343895b72bc,"[""버버리""]",Burberry,"[""포맨""]",Burberry,For Men,OK
ci_ccaf177d157d,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 벨벳아이리스 바이 도미니크 로피옹 바이알2종""]",Essential Parfums,Velvet Iris,OK
ci_80a9b463c540,"[""그라펜""]",그라펜,"[""멀티 유즈 스프레이""]",GRAFEN,,UNKNOWN
ci_e4a21527d71c,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 디바인 바닐 바이 올리비에 페슈 바이알2종""]",Essential Parfums,Divine Vanille,OK
ci_e244fce7bce0,"[""끌로에""]",Chloé,"[""NEW 끌로에 르""]",Chloé,Le Parfum,OK
ci_dca33c49dbd3,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 로즈 마그네틱 바이 소피라베 바이알2종""]",Essential Parfums,Rose Magnetic,OK
ci_1f86ce3efead,"[""겐조""]",Kenzo,"[""플라워바이겐조""]",Kenzo,Flower by Kenzo,OK
ci_69cfae7949a5,"[""겐조""]",Kenzo,"[""플라워바이겐조 NEW""]",Kenzo,Flower by Kenzo,OK
ci_7efb9f7918b8,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 몽 베티버 바이 브루노 조바노빅 바이알2종""]",Essential Parfums,Mon Vetiver,OK
ci_1078b76d0351,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 패출리 마니아 바이 파브리스 펠레그린 바이알2종""]",Essential Parfums,Patchouli Mania,OK
ci_ddb2869192fa,"[""클린""]",Clean,"[""클리어 쿨 코튼""]",Clean,Cool Cotton,OK
ci_3d6cd9885fad,"[""버버리""]",Burberry,"[""터치 포 맨""]",Burberry,Touch for Men,OK
ci_828fd587bcc8,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 네롤리 보타니카 바이 앤 플리포 바이알2종""]",Essential Parfums,Néroli Botanica,OK
ci_48f88df72266,"[""향수존""]",Montale,"[""몽탈 아라비안 통카""]",Montale,Arabians Tonka,OK
ci_e978ba807ebb,"[""캘빈클라인""]",Calvin Klein,"[""CK 디파이""]",Calvin Klein,CK Defy,OK
ci_acd5fe065a4e,"[""향수존""]",퓨레앙스,"[""퓨레앙스 골든 텐저린""]",Pureance,Golden Tangerine,UNCERTAIN
ci_89d4dbdfbfef,"[""돌체앤가바나""]",Dolce&Gabbana,"[""라이트 블루 리뉴얼""]",Dolce&Gabbana,Light Blue,OK
ci_9dca89744659,"[""향수존""]",퓨레앙스,"[""퓨레앙스 블랑 드 로즈""]",Pureance,Blanc de Rose,UNCERTAIN
ci_199e1eece1e7,"[""존바바토스""]",John Varvatos,"[""아티산 퓨어""]",John Varvatos,Artisan Pure,OK
ci_788bf737ffe8,"[""향수존""]",퓨레앙스,"[""퓨레앙스 플레르 머스크""]",Pureance,Fleur Musk,UNCERTAIN
ci_f21db36f96f8,"[""아로""]",Ahro,"[""풀 문 블로썸""]",AHRO,Full Moon Blossom,OK
ci_03de43d04a1e,"[""아로""]",Ahro,"[""풀 문 블로썸""]",AHRO,Full Moon Blossom,OK
ci_532319e5514b,"[""유겐""]",Yugen,"[""INSPIRE""]",YUGEN,Inspire,OK
ci_c0312168b64b,"[""든향""]",든향,"[""보라색 베이비 로션향 든향 파자마""]",DeunHyang,Pajama,OK
ci_cb304d30c259,"[""에틀리에""]",Kiss New York,"[""스킨센트""]",etlee,Skin Scent,OK
ci_dacad42c2028,"[""향수존""]",퓨레앙스,"[""퓨레앙스 블랙베리 베일""]",Pureance,Blackberry Veil,UNCERTAIN
ci_8e966beaa7d3,"[""헤트라스 뷰티""]",헤트라스 뷰티,"[""핸드메이드 아틀리에 티""]",hetras,Atelier Tea,OK
ci_e24fb8fa9c57,"[""아디다스(뷰티)""]",Adidas,"[""아디다스 스파크업""]",Adidas,Spark Up,OK
ci_9fb8efce2e13,"[""포맨트""]",Forment,"[""시그니처 코튼메모리 포켓몬 에디션""]",Forment,Signature Cotton Memory,OK
ci_5b66cdd8fc5f,"[""러쉬""]",Lush,"[""29 하이 스트릿 -""]",Lush,29 High Street,OK
ci_cec1391bad56,"[""메종 마르지엘라 퍼퓸""]",Maison Martin Margiela,"[""레플리카 웬 더 레인 스탑스""]",Maison Margiela,Replica When the Rain Stops,OK
ci_ead2ce126fdc,"[""라멜린""]",라멜린,"[""청량한향 라멜린 오션""]",Lamelin,Ocean,OK
ci_4fcbf0cd868b,"[""슬로우허밍""]",슬로우허밍,"[""릴리프""]",Slow Humming,,UNKNOWN
ci_d07b4e786ac6,"[""그라펜""]",그라펜,"[""무화과/우디 그라펜 타투 원우드""]",GRAFEN,One Wood,OK
ci_e72742290d76,"[""향수존""]",Versace,"[""베르사체 에로스 플레임""]",Versace,Eros Flame,OK
ci_22174ff268e4,"[""캘빈클라인""]",Calvin Klein,"[""CK 캘빈클라인 One 어워즈 한정기획""]",Calvin Klein,CK One,OK
ci_fb30d3e33775,"[""향수존""]",Versace,"[""베르사체 오프레쉬 맨""]",Versace,Man Eau Fraîche,OK
ci_25ae9e92691e,"[""스테판 움베르 루카""]",Stéphane Humbert Lucas 777,"[""갓 오브 파이어""]",Stéphane Humbert Lucas 777,God of Fire,OK
ci_2667882908d6,"[""향수존""]",Nishane,"[""니샤네 멘트 투 비 씬"", ""니샤네 멘트 투비씬""]",Nishane,Meant to Be Seen,OK
ci_c0a10848ee51,"[""돌체앤가바나""]",Dolce&Gabbana,"[""NEW/리뉴얼 돌체앤가바나 라이트블루""]",Dolce&Gabbana,Light Blue,OK
ci_7b1b0c3c97bf,"[""랑방""]",Lanvin,"[""레 플레르 드 랑방 블루 오키드""]",Lanvin,Les Fleurs de Lanvin Blue Orchid,OK
ci_df04693e4cb4,"[""필로소피""]",Philosophy,"[""어메이징 그레이스 발레로즈""]",Philosophy,Amazing Grace Ballet Rose,OK
ci_961b6c888564,"[""향수존""]",Nishane,"[""니샤네 난쉬 바이알3종""]",Nishane,Nanshe,OK
ci_bf8562dbb7c2,"[""메종 마르지엘라 퍼퓸""]",Maison Martin Margiela,"[""레플리카 네버 엔딩 썸머""]",Maison Margiela,Replica Never-ending Summer,OK
ci_71b9d531cf3b,"[""비비앙""]",Vivienne Westwood,"[""로스트우드""]",BiBiANG,Lostwood,OK
ci_a87ef349f868,"[""아뜰리에페이""]",Atelier Faye,"[""NEW 아뜰리에페이 베이비 피치""]",Atelier Faye,Baby Peach,OK
ci_b9a4a5188aac,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 피오니 & 페퍼콘""]",Banana Republic,Peony & Peppercorn,OK
ci_8edbde5051d7,"[""알보우""]",RboW,"[""NEW 알보우 미스트 로즈 퀴르""]",RboW,Rose Cuir,OK
ci_1029293a858d,"[""알보우""]",RboW,"[""미스트 모노크롬""]",RboW,Monochrome,OK
ci_cbb7b0330ab2,"[""향수존""]",Bentley,"[""벤틀리 모멘텀 언브레이커블""]",Bentley,Momentum Unbreakable,OK
ci_b9e62a927dd4,"[""세이리""]",세이리,"[""누드""]",SEI LI,Nude,OK
ci_cd172b21d5d3,"[""폴로랄프로렌 퍼퓸""]",Ralph Lauren,"[""폴로""]",Ralph Lauren,Polo,OK
ci_ee512d3fd83f,"[""향수존""]",Jaguar,"[""재규어 이어러 리로리드""]",Jaguar,Era Reloaded,OK
ci_e9ded798e88b,"[""슬로우허밍""]",슬로우허밍,"[""플라워너리 릴리프 플라워솝""]",Slow Humming,Flower Soap,OK
ci_8d3fd68851e5,"[""저스트에즈아이엠""]",저스트에즈아이엠,"[""무화과 수분충전 아이엠 미스트""]",JUST AS I AM,I Am,OK
ci_b07c5a904a22,"[""향수존""]",BMW Fragrances,"[""비엠더블유 베르가무드""]",BMW Fragrances,Bergamood,OK
ci_b5fded73abf9,"[""향수존""]",Nishane,"[""니샤네 아니""]",Nishane,Ani,OK
ci_efb07b8e1a13,"[""메종 마르지엘라 퍼퓸""]",Maison Martin Margiela,"[""레플리카 세일링 데이""]",Maison Margiela,Replica Sailing Day,OK
ci_f5f8a6517ebc,"[""돌체앤가바나""]",Dolce&Gabbana,"[""베스트/리뉴얼 돌체앤가바나 라이트블루""]",Dolce&Gabbana,Light Blue,OK
ci_28ce250d3949,"[""센티카""]",센티카,"[""시그니처 플레르 에끌로""]",SCENTICA,Fleur Eclo,OK
ci_d586aa0a6484,"[""끌로에""]",Chloé,"[""노마드""]",Chloé,Nomade,OK
ci_8df0e96b32ea,"[""향수존""]",Nishane,"[""니샤네 에게 바이알3종""]",Nishane,EGE / ΑΙΓΑΙΟ,OK
ci_e9e3d3d4f4c3,"[""끌로에""]",Chloé,"[""로즈탠저린""]",Chloé,Rose Tangerine,OK
ci_dedcc1bc3243,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 벨벳 포메그레네이트 오드퍼퓸75ml""]",Banana Republic,Velvet Pomegranate,OK
ci_6d23c4cc8ad3,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""엉브레""]",Narciso Rodriguez,Ambrée,OK
ci_bfb471bec2cb,"[""향수존""]",Rance 1795,"[""랑세 마틸드""]",Rancé 1795,Mathilde,OK
ci_7f39563a5790,"[""메르세데스 벤츠""]",Mercedes-Benz,"[""맨""]",Mercedes-Benz,Man,OK
ci_91145615bbf1,"[""메종 마르지엘라 퍼퓸""]",Maison Martin Margiela,"[""레플리카 업 앳 던""]",Maison Margiela,Replica Up at Dawn,OK
ci_87bf6ab870ca,"[""향수존""]",Replay,"[""리플레이 시크릿 포 우먼""]",Replay,Signature Secret,OK
ci_995ff22a2add,"[""포스테스""]",Postes,"[""프롬 생트로페 2607 리뉴얼""]",POSTES,From Saint-Tropez 2607,OK
ci_1ee603a82573,"[""춘몽""]",춘몽,"[""도플 Doppel""]",CHUNMONG,Doppel,OK
ci_d62c7422f3c9,"[""향수존""]",Mancera,"[""만세라 머스키 가든""]",Mancera,Musky Garden,OK
ci_273373b93586,"[""향수존""]",Versace,"[""베르사체 브라이트 크리스탈 앱솔루""]",Versace,Bright Crystal Absolu,OK
ci_6f1a4c905a1d,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""포 허 퓨어 머스크""]",Narciso Rodriguez,For Her Pure Musc,OK
ci_8acb92ed35b3,"[""아리아나그란데""]",Ariana Grande,"[""땡큐 넥스트 / 중""]",Ariana Grande,"Thank U, Next",OK
ci_3e627a1be90a,"[""랑방 퍼퓸""]",Lanvin,"[""레 플레르 드 랑방 워터 릴리""]",Lanvin,Les Fleurs de Lanvin Water Lily,OK
ci_d6f47d522967,"[""클린""]",Clean,"[""스트로베리필즈""]",Clean,Strawberry Fields,OK
ci_f05320b774b8,"[""헉슬리""]",Huxley,"[""포트브레스""]",Huxley,Port Breath,OK
ci_de2d25789235,"[""테누이""]",Tenui,"[""베어""]",Tenui,Bare,OK
ci_afa8a883decc,"[""에틀리에""]",Kiss New York,"[""앰버버번""]",etlee,Amber Bourbon,OK
ci_9e3683e618f5,"[""쿠오카""]",Kuoca,"[""와일드피치""]",kuoca,Wild Peach,OK
ci_061397e78705,"[""아디다스(뷰티)""]",Adidas,"[""아디다스 해피필즈""]",Adidas,Happy Feels,OK
ci_d982e707ddbc,"[""향수존""]",Replay,"[""리플레이 탱크 플레이트 포 맨""]",Replay,#Tank Plate for Him,OK
ci_ab36af4ff5b0,"[""메종 마르지엘라 퍼퓸""]",Maison Martin Margiela,"[""레플리카 온어데이트""]",Maison Margiela,Replica On a Date,OK
ci_7f3e7adcd39e,"[""엘리자베스""]",Elizabeth Arden,"[""보""]",Elizabeth Arden,,UNKNOWN
ci_b58c9e05319d,"[""아뜰리에페이""]",Atelier Faye,"[""NEW 아뜰리에페이 슬립핑 베이비""]",Atelier Faye,Sleeping Baby,OK
ci_2169b2f1510d,"[""향수존""]",Replay,"[""리플레이 시그니처 시크릿 포 우먼""]",Replay,Signature Secret,OK
ci_27c1466023f4,"[""리베르""]",리베르,"[""금목서 플라워 소사이어티 Flower Society""]",LIBER,Flower Society,OK
ci_e0047f33d1fc,"[""그라펜""]",그라펜,"[""기프트세트 그라펜 타투 원우드 선물세트""]",GRAFEN,One Wood,OK
ci_07d09ab41d6d,"[""향수존""]",TUMI,"[""투미 어웨이큰 08:00""]",TUMI,Awaken [08:00 GMT],OK
ci_60a36f908dca,"[""향수존""]",Replay,"[""리플레이 소스 오브 라이프 포 우먼""]",Replay,Source of Life Woman,OK
ci_9975d74312fa,"[""향수존""]",Trussardi,"[""트루사르디 르비드밀라노 디이탈리안 아티스트 오브 비아솔페리노EDP""]",Trussardi,The Italian Artists of Via Solferino,OK
ci_0212e7f4c6dc,"[""향수존""]",Versace,"[""베르사체 에로스 에너지""]",Versace,Eros Energy,OK
